Date,Open,High,Low,Close,Start Date,End Date,Pattern
2022-10-18,72.4,73.0,72.4,73.0,-1,-1,0
2022-10-19,72.2,72.2,71.6,71.6,-1,-1,0
2022-10-20,72.4,72.4,70.0,70.6,-1,-1,0
2022-10-21,70.6,70.8,69.0,70.6,-1,-1,0
2022-10-24,69.6,72.0,69.6,71.0,-1,-1,0
2022-10-25,72.0,72.0,71.0,71.0,-1,-1,0
2022-10-26,72.0,73.8,71.0,73.0,-1,-1,0
2022-10-27,73.0,73.0,71.6,71.6,-1,-1,0
2022-10-28,71.4,73.0,71.0,73.0,-1,-1,0
2022-10-31,73.4,74.0,69.6,72.0,-1,-1,0
2022-11-02,72.2,73.6,72.2,72.2,-1,-1,0
2022-11-03,72.2,73.2,72.2,72.6,-1,-1,0
2022-11-04,73.2,73.4,72.4,73.2,-1,-1,0
2022-11-07,73.0,75.0,72.8,75.0,-1,-1,0
2022-11-08,75.0,75.0,73.2,74.0,-1,-1,0
2022-11-09,74.0,74.0,73.2,73.2,-1,-1,0
2022-11-10,73.8,74.0,72.0,73.4,-1,-1,0
2022-11-14,74.0,75.0,73.4,73.4,-1,-1,0
2022-11-15,74.0,74.0,73.6,73.6,-1,-1,0
2022-11-16,73.0,73.4,72.8,72.8,-1,-1,0
2022-11-17,72.8,72.8,72.0,72.6,-1,-1,0
2022-11-18,73.4,73.4,72.6,72.8,-1,-1,0
2022-11-21,74.0,74.0,70.6,72.0,-1,-1,0
2022-11-22,73.8,73.8,72.0,72.6,-1,-1,0
2022-11-23,73.8,73.8,72.4,73.4,-1,-1,0
2022-11-24,73.6,73.6,72.6,72.6,-1,-1,0
2022-11-25,72.8,73.8,72.8,72.8,-1,-1,0
2022-11-28,73.8,73.8,72.8,72.8,-1,-1,0
2022-11-29,72.8,73.2,72.0,72.0,-1,-1,0
2022-11-30,73.4,73.4,72.2,73.0,-1,-1,0
2022-12-01,73.0,74.8,73.0,74.0,-1,-1,0
2022-12-02,73.8,74.8,72.6,74.2,-1,-1,0
2022-12-05,74.2,74.8,73.0,73.4,-1,-1,0
2022-12-06,73.4,73.6,72.6,72.6,-1,-1,0
2022-12-07,73.0,74.2,72.6,74.2,-1,-1,0
2022-12-08,73.2,74.2,73.0,74.0,-1,-1,0
2022-12-09,74.0,74.2,73.2,73.2,-1,-1,0
2022-12-12,73.6,73.8,73.0,73.0,-1,-1,0
2022-12-13,73.0,73.2,71.8,73.0,-1,-1,0
2022-12-14,73.0,74.0,73.0,73.2,-1,-1,0
2022-12-15,74.0,74.0,72.6,72.6,-1,-1,0
2022-12-16,72.6,74.0,72.6,73.0,-1,-1,0
2022-12-19,73.8,73.8,73.0,73.0,-1,-1,0
2022-12-20,72.8,73.0,72.0,72.4,-1,-1,0
2022-12-21,73.4,74.4,73.4,73.4,-1,-1,0
2022-12-22,73.8,74.0,72.2,72.4,-1,-1,0
2022-12-23,72.8,73.0,71.6,72.2,-1,-1,0
2022-12-27,73.4,73.4,70.6,71.0,-1,-1,0
2022-12-28,70.2,72.4,69.8,71.0,-1,-1,0
2022-12-29,71.0,73.8,71.0,73.0,-1,-1,0
2022-12-30,72.4,74.2,72.2,72.4,-1,-1,0
2023-01-02,72.8,75.2,72.6,75.0,-1,-1,0
2023-01-03,76.2,81.0,76.2,78.8,-1,-1,0
2023-01-04,79.8,81.2,78.8,81.0,-1,-1,0
2023-01-05,81.0,84.0,81.0,82.6,-1,-1,0
2023-01-09,83.0,84.8,82.4,82.8,-1,-1,0
2023-01-10,82.8,84.4,82.8,84.4,-1,-1,0
2023-01-11,84.6,84.6,83.0,83.0,-1,-1,0
2023-01-12,84.0,84.0,83.0,83.4,-1,-1,0
2023-01-13,83.4,83.8,82.8,82.8,-1,-1,0
2023-01-16,82.0,82.8,81.0,81.2,-1,-1,0
2023-01-17,81.8,82.6,80.8,82.0,-1,-1,0
2023-01-18,82.0,83.0,82.0,82.4,-1,-1,0
2023-01-19,82.4,83.8,82.4,83.0,-1,-1,0
2023-01-20,83.0,83.6,82.4,82.8,-1,-1,0
2023-01-23,83.4,83.8,82.2,83.2,-1,-1,0
2023-01-24,82.4,84.2,82.4,83.6,-1,-1,0
2023-01-25,84.2,84.2,83.4,83.4,-1,-1,0
2023-01-26,84.0,84.0,83.4,83.8,-1,-1,0
2023-01-27,84.0,88.8,83.8,87.0,-1,-1,0
2023-01-30,89.0,92.0,89.0,91.8,-1,-1,0
2023-01-31,90.2,93.2,89.2,91.6,-1,-1,0
2023-02-01,89.8,92.8,89.8,91.6,-1,-1,0
2023-02-02,91.6,93.0,90.2,90.4,-1,-1,0
2023-02-03,90.4,92.0,90.2,91.6,-1,-1,0
2023-02-06,90.6,91.0,90.2,90.4,-1,-1,0
2023-02-07,90.6,90.6,87.6,87.8,-1,-1,0
2023-02-08,87.8,89.0,87.6,88.2,-1,-1,0
2023-02-09,88.2,89.6,88.2,89.6,-1,-1,0
2023-02-10,89.2,89.6,86.4,87.6,-1,-1,0
2023-02-13,87.6,87.8,85.0,87.4,-1,-1,0
2023-02-14,87.4,87.8,86.2,87.8,-1,-1,0
2023-02-15,88.2,89.4,87.0,89.2,-1,-1,0
2023-02-16,88.0,88.6,88.0,88.4,-1,-1,0
2023-02-17,88.4,88.6,86.6,88.6,-1,-1,0
2023-02-20,87.6,89.0,87.4,87.8,-1,-1,0
2023-02-21,88.8,88.8,87.4,88.8,-1,-1,0
