Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-01,31.85,32.0,31.34,31.94,32,44,3,1
2022-12-02,31.94,31.94,31.34,31.62,32,44,3,1
2022-12-05,31.6,32.1,31.56,31.78,32,44,3,1
2022-12-06,31.8,32.0,31.57,31.9,32,44,3,1
2022-12-07,31.82,32.01,31.51,32.01,32,44,3,1
2022-12-08,32.04,32.7,31.78,32.67,32,44,3,1
2022-12-09,32.64,32.66,32.25,32.47,32,44,3,1
2022-12-12,32.45,32.89,32.11,32.82,32,44,3,1
2022-12-13,32.9,34.18,32.76,33.91,32,44,3,1
2022-12-14,33.91,33.91,33.32,33.65,32,44,3,1
2022-12-15,33.65,33.93,33.12,33.71,32,44,3,1
2022-12-16,33.5,33.9,33.21,33.49,32,44,3,1
2022-12-19,33.35,33.96,32.95,33.8,32,44,3,1
2022-12-20,33.6,34.6,33.39,34.6,32,44,3,1
2022-12-21,34.49,34.85,34.24,34.67,32,44,3,1
2022-12-22,34.67,34.99,34.5,34.95,32,44,3,1
2022-12-23,34.95,34.98,34.47,34.63,32,44,3,1
2022-12-27,34.7,34.9,34.41,34.55,32,44,3,1
2022-12-28,34.4,34.76,34.25,34.74,32,44,3,1
2022-12-29,34.68,35.79,34.4,35.7,32,44,3,1
2022-12-30,35.67,35.67,35.11,35.42,32,44,3,1
2023-01-02,35.4,35.5,34.44,34.61,32,44,3,1
2023-01-03,34.55,35.1,34.27,34.84,32,44,3,1
2023-01-04,34.86,35.89,34.84,35.85,32,44,3,1
2023-01-05,35.85,36.4,35.31,35.75,32,44,3,1
2023-01-09,36.08,36.6,35.95,36.6,32,44,3,1
2023-01-10,36.6,37.02,36.21,36.92,32,44,3,1
2023-01-11,37.0,37.5,36.62,36.8,32,44,3,1
2023-01-12,36.73,37.54,36.37,36.52,32,44,3,1
2023-01-13,36.5,36.76,35.97,36.24,32,44,3,1
2023-01-16,36.14,36.41,35.75,36.21,32,44,3,1
2023-01-17,36.01,36.43,35.38,35.84,32,44,3,1
2023-01-18,35.8,36.29,35.53,35.65,32,44,3,1
2023-01-19,35.6,36.38,35.27,36.3,32,44,3,1
2023-01-20,36.4,36.82,36.14,36.75,32,44,3,1
2023-01-23,36.9,37.21,36.42,37.05,32,44,3,1
2023-01-24,37.19,37.19,36.45,36.63,32,44,3,1
2023-01-25,36.5,36.77,35.9,36.28,32,44,3,1
2023-01-26,36.5,36.98,36.47,36.81,32,44,3,1
2023-01-27,36.94,36.99,36.2,36.51,32,44,3,1
2023-01-30,36.5,36.56,35.94,36.51,32,44,3,1
2023-01-31,36.4,36.79,36.13,36.72,32,44,3,1
2023-02-01,36.8,37.11,36.44,36.67,32,44,3,1
2023-02-02,36.91,37.48,36.67,37.17,32,44,3,1
2023-02-03,37.2,37.48,36.88,37.2,32,44,3,1
2023-02-06,37.1,37.28,35.65,35.86,32,44,3,1
2023-02-07,35.9,36.2,35.65,35.93,32,44,3,1
2023-02-08,36.02,36.37,35.83,35.93,32,44,3,1
2023-02-09,36.17,36.68,36.04,36.37,32,44,3,1
2023-02-10,36.27,36.3,35.14,35.29,32,44,3,1
2023-02-13,35.44,36.1,35.3,36.05,32,44,3,1
2023-02-14,36.1,36.1,35.55,35.72,32,44,3,1
2023-02-15,35.85,36.19,35.54,36.17,32,44,3,1
2023-02-16,36.11,36.22,35.26,36.2,32,44,3,1
2023-02-17,36.09,36.45,35.74,36.1,32,44,3,1
2023-02-20,36.0,36.15,35.52,35.72,32,44,3,1
2023-02-21,35.6,35.76,34.91,35.59,32,44,3,1
2023-02-22,35.5,35.62,34.82,35.04,32,44,3,1
2023-02-23,35.04,36.06,35.0,36.01,32,44,3,1
2023-02-24,36.1,36.45,35.92,36.21,32,44,3,1
2023-02-27,36.2,36.3,35.87,36.19,32,44,3,1
2023-02-28,36.17,36.63,36.0,36.62,32,44,3,1
2023-03-01,36.65,36.88,36.4,36.76,32,44,3,1
2023-03-02,36.74,36.74,36.09,36.14,32,44,3,1
2023-03-03,36.31,36.56,36.03,36.56,32,44,3,1
2023-03-06,36.66,37.6,36.61,37.46,32,44,3,1
2023-03-07,37.42,37.6,37.04,37.04,32,44,3,1
2023-03-08,37.05,37.25,36.75,37.13,32,44,3,1
2023-03-09,37.1,37.14,36.6,36.84,32,44,3,1
2023-03-10,36.5,36.58,35.43,35.63,32,44,3,1
2023-03-13,35.36,36.0,34.41,34.85,32,44,3,1
2023-03-14,34.84,34.84,33.7,34.1,32,44,3,1
2023-03-15,34.15,34.57,32.9,33.18,32,44,3,1
2023-03-16,33.54,33.76,32.13,32.92,32,44,3,1
2023-03-17,33.22,33.45,31.62,31.73,32,44,3,1
2023-03-20,31.6,31.72,30.55,31.63,32,44,3,1
2023-03-21,32.25,33.3,31.93,33.25,32,44,3,1
2023-03-22,33.34,33.6,32.65,32.81,32,44,3,1
2023-03-23,33.15,33.19,32.23,32.9,32,44,3,1
