Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-25,1.03,1.03,1.0,1.02,24,31,3,1
2023-04-26,0.998,1.02,0.98,1.02,24,31,3,1
2023-04-27,0.984,1.01,0.976,0.998,24,31,3,1
2023-04-28,0.998,0.998,0.978,0.99,24,31,3,1
2023-05-02,0.99,1.045,0.986,1.02,24,31,3,1
2023-05-04,1.02,1.02,0.98,0.998,24,31,3,1
2023-05-05,0.998,1.02,0.98,1.005,24,31,3,1
2023-05-08,0.984,0.992,0.968,0.99,24,31,3,1
2023-05-09,0.992,1.0,0.99,1.0,24,31,3,1
2023-05-10,0.998,1.03,0.98,1.03,24,31,3,1
2023-05-11,1.01,1.03,0.99,1.03,24,31,3,1
2023-05-12,1.035,1.1,1.035,1.1,24,31,3,1
2023-05-15,1.115,1.115,1.05,1.1,24,31,3,1
2023-05-16,1.095,1.095,1.055,1.08,24,31,3,1
2023-05-17,1.075,1.08,0.99,1.06,24,31,3,1
2023-05-18,1.06,1.07,1.05,1.07,24,31,3,1
2023-05-19,1.07,1.095,1.05,1.095,24,31,3,1
2023-05-22,1.055,1.1,1.055,1.1,24,31,3,1
2023-05-23,1.1,1.1,1.06,1.085,24,31,3,1
2023-05-24,1.1,1.27,1.08,1.175,24,31,3,1
2023-05-25,1.18,1.215,1.125,1.17,24,31,3,1
2023-05-26,1.17,1.17,1.1,1.15,24,31,3,1
2023-05-29,1.15,1.185,1.115,1.175,24,31,3,1
2023-05-30,1.175,1.19,1.12,1.155,24,31,3,1
2023-05-31,1.17,1.18,1.125,1.18,24,31,3,1
2023-06-01,1.18,1.235,1.15,1.23,24,31,3,1
2023-06-02,1.235,1.235,1.16,1.2,24,31,3,1
2023-06-05,1.2,1.215,1.18,1.205,24,31,3,1
2023-06-06,1.205,1.21,1.165,1.21,24,31,3,1
2023-06-07,1.22,1.235,1.2,1.21,24,31,3,1
2023-06-09,1.235,1.25,1.2,1.245,24,31,3,1
2023-06-12,1.245,1.25,1.215,1.23,24,31,3,1
2023-06-13,1.24,1.24,1.24,1.24,24,31,3,1
2023-06-14,1.235,1.24,1.2,1.2,24,31,3,1
2023-06-15,1.225,1.225,1.14,1.19,24,31,3,1
2023-06-16,1.2,1.2,1.14,1.16,24,31,3,1
2023-06-19,1.185,1.185,1.14,1.16,24,31,3,1
2023-06-20,1.135,1.17,1.115,1.17,24,31,3,1
2023-06-21,1.13,1.2,1.13,1.2,24,31,3,1
2023-06-22,1.195,1.195,1.185,1.195,24,31,3,1
2023-06-23,1.195,1.195,1.16,1.19,24,31,3,1
2023-06-26,1.11,1.19,1.11,1.15,24,31,3,1
2023-06-27,1.125,1.155,1.105,1.155,24,31,3,1
2023-06-28,1.155,1.155,1.105,1.15,24,31,3,1
2023-06-29,1.155,1.155,1.07,1.13,24,31,3,1
2023-06-30,1.145,1.145,1.075,1.12,24,31,3,1
2023-07-03,1.075,1.13,1.06,1.11,24,31,3,1
2023-07-04,1.07,1.1,1.065,1.1,24,31,3,1
2023-07-05,1.1,1.1,1.095,1.095,24,31,3,1
2023-07-06,1.095,1.21,1.08,1.19,24,31,3,1
2023-07-07,1.185,1.185,1.15,1.18,24,31,3,1
2023-07-10,1.17,1.185,1.135,1.17,24,31,3,1
2023-07-11,1.17,1.17,1.17,1.17,24,31,3,1
2023-07-12,1.17,1.17,1.125,1.13,24,31,3,1
2023-07-13,1.13,1.17,1.13,1.165,24,31,3,1
2023-07-14,1.155,1.155,1.04,1.13,24,31,3,1
2023-07-17,1.13,1.13,1.095,1.13,24,31,3,1
2023-07-18,1.13,1.145,1.08,1.14,24,31,3,1
