Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-14,36.0,36.36,35.7,35.94,-1,-1,0,0
2022-12-15,35.7,35.74,34.68,34.86,-1,-1,0,0
2022-12-16,34.8,35.9,34.24,35.82,-1,-1,0,0
2022-12-19,35.82,36.0,35.08,35.7,-1,-1,0,0
2022-12-20,35.7,38.0,35.52,38.0,-1,-1,0,0
2022-12-21,37.9,39.24,37.0,39.24,-1,-1,0,0
2022-12-22,39.28,40.46,39.0,39.2,-1,-1,0,0
2022-12-23,39.2,40.24,38.64,38.7,-1,-1,0,0
2022-12-27,38.7,39.5,38.7,39.0,-1,-1,0,0
2022-12-28,39.1,39.88,39.0,39.0,-1,-1,0,0
2022-12-29,39.46,39.88,38.98,39.6,-1,-1,0,0
2022-12-30,39.64,39.84,38.96,39.48,-1,-1,0,0
2023-01-02,39.32,42.0,39.1,42.0,-1,-1,0,0
2023-01-03,42.22,44.46,42.22,43.08,-1,-1,0,0
2023-01-04,43.08,43.8,42.16,42.48,-1,-1,0,0
2023-01-05,42.5,44.8,42.1,44.7,-1,-1,0,0
2023-01-09,45.0,46.36,44.9,45.34,-1,-1,0,0
2023-01-10,45.28,45.98,44.56,45.32,-1,-1,0,0
2023-01-11,45.6,45.82,45.0,45.0,-1,-1,0,0
2023-01-12,44.46,45.88,44.42,45.0,-1,-1,0,0
2023-01-13,44.96,45.88,44.96,45.0,-1,-1,0,0
2023-01-16,45.04,46.48,44.6,45.94,-1,-1,0,0
2023-01-17,45.94,45.98,44.9,45.0,-1,-1,0,0
2023-01-18,44.82,45.64,44.82,45.08,-1,-1,0,0
2023-01-19,44.82,45.52,44.8,45.0,-1,-1,0,0
2023-01-20,45.5,46.7,44.58,45.0,-1,-1,0,0
2023-01-23,45.02,45.96,44.82,45.7,-1,-1,0,0
2023-01-24,45.7,46.1,44.84,45.1,-1,-1,0,0
2023-01-25,45.36,45.84,44.96,45.0,-1,-1,0,0
2023-01-26,45.08,45.72,45.0,45.38,-1,-1,0,0
2023-01-27,45.2,45.68,44.22,44.22,-1,-1,0,0
2023-01-30,44.02,44.02,42.32,42.66,-1,-1,0,0
2023-01-31,42.56,45.66,42.52,45.46,-1,-1,0,0
2023-02-01,45.32,45.34,43.42,43.6,-1,-1,0,0
2023-02-02,44.6,44.62,43.38,43.46,-1,-1,0,0
2023-02-03,44.2,44.28,43.14,43.42,-1,-1,0,0
2023-02-06,43.42,43.44,42.2,42.8,-1,-1,0,0
2023-02-07,42.96,43.5,42.34,42.34,-1,-1,0,0
2023-02-08,42.5,43.78,42.5,43.18,-1,-1,0,0
2023-02-09,43.6,44.36,43.1,44.16,-1,-1,0,0
2023-02-10,43.92,43.92,42.78,42.82,-1,-1,0,0
2023-02-13,42.6,43.92,42.6,43.48,-1,-1,0,0
2023-02-14,43.7,43.94,42.42,42.6,-1,-1,0,0
2023-02-15,42.62,42.74,42.12,42.3,-1,-1,0,0
2023-02-16,42.98,42.98,41.82,42.34,-1,-1,0,0
2023-02-17,42.4,42.78,42.1,42.3,-1,-1,0,0
2023-02-20,42.68,42.76,41.1,41.1,-1,-1,0,0
2023-02-21,41.12,41.26,39.82,39.82,-1,-1,0,0
2023-02-22,39.6,40.0,38.5,39.0,-1,-1,0,0
