Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-04,46.7,46.9,46.3,46.5,-1,-1,0,0
2023-01-05,46.5,47.6,46.5,47.6,-1,-1,0,0
2023-01-09,47.7,48.6,47.7,48.5,-1,-1,0,0
2023-01-10,50.0,50.0,48.5,48.6,-1,-1,0,0
2023-01-11,49.0,50.0,48.6,49.1,-1,-1,0,0
2023-01-12,48.6,49.0,48.5,49.0,-1,-1,0,0
2023-01-13,50.0,50.0,48.6,49.4,-1,-1,0,0
2023-01-16,49.9,49.9,48.7,48.8,-1,-1,0,0
2023-01-17,48.5,49.1,46.8,49.1,-1,-1,0,0
2023-01-18,49.1,50.0,48.3,49.0,-1,-1,0,0
2023-01-19,49.0,49.4,48.0,49.4,-1,-1,0,0
2023-01-20,49.5,49.5,48.1,48.3,-1,-1,0,0
2023-01-23,49.0,49.0,48.0,48.5,-1,-1,0,0
2023-01-24,48.8,48.8,47.3,47.8,-1,-1,0,0
2023-01-25,48.8,48.8,45.7,46.3,-1,-1,0,0
2023-01-26,46.3,47.3,44.9,45.4,-1,-1,0,0
2023-01-27,45.4,45.9,44.6,45.6,-1,-1,0,0
2023-01-30,45.4,45.5,44.0,44.1,-1,-1,0,0
2023-01-31,44.3,44.6,43.6,44.0,-1,-1,0,0
2023-02-01,44.2,44.6,43.7,43.9,-1,-1,0,0
2023-02-02,44.3,44.6,43.5,43.9,-1,-1,0,0
2023-02-03,44.0,45.6,44.0,44.8,-1,-1,0,0
2023-02-06,45.4,45.8,44.6,45.1,-1,-1,0,0
2023-02-07,45.6,45.9,45.1,45.1,-1,-1,0,0
2023-02-08,45.2,46.8,45.2,46.0,-1,-1,0,0
2023-02-09,46.1,47.7,46.0,47.4,-1,-1,0,0
2023-02-10,47.6,47.7,45.6,47.4,-1,-1,0,0
2023-02-13,47.4,47.8,46.8,47.7,-1,-1,0,0
2023-02-14,47.9,48.0,47.7,47.7,-1,-1,0,0
2023-02-15,47.7,48.1,47.1,47.4,-1,-1,0,0
2023-02-16,47.1,47.8,47.1,47.3,-1,-1,0,0
2023-02-17,47.3,47.3,47.1,47.3,-1,-1,0,0
2023-02-20,47.3,48.1,46.5,47.1,-1,-1,0,0
2023-02-21,48.2,48.4,47.5,47.7,-1,-1,0,0
2023-02-22,47.5,47.8,46.8,47.5,-1,-1,0,0
2023-02-23,47.8,49.0,47.8,48.4,-1,-1,0,0
2023-02-24,49.5,50.0,48.8,49.5,-1,-1,0,0
2023-02-27,49.5,49.7,48.4,49.6,-1,-1,0,0
2023-02-28,48.4,51.0,48.4,50.2,-1,-1,0,0
2023-03-01,50.8,50.8,48.0,49.4,-1,-1,0,0
2023-03-02,49.4,50.2,49.3,49.4,-1,-1,0,0
2023-03-03,49.6,50.6,49.6,50.4,-1,-1,0,0
2023-03-06,49.6,50.4,49.5,49.6,-1,-1,0,0
2023-03-07,49.6,49.6,49.1,49.1,-1,-1,0,0
2023-03-08,49.6,50.0,49.1,49.2,-1,-1,0,0
2023-03-09,50.0,50.0,47.0,47.6,-1,-1,0,0
2023-03-10,48.6,48.6,47.2,47.2,-1,-1,0,0
2023-03-13,47.1,48.5,46.5,47.8,-1,-1,0,0
2023-03-14,46.6,48.3,46.6,48.3,-1,-1,0,0
2023-03-15,48.3,48.5,46.9,47.0,-1,-1,0,0
2023-03-16,47.0,47.0,46.2,46.3,-1,-1,0,0
2023-03-17,46.4,48.4,46.4,47.0,-1,-1,0,0
2023-03-20,47.0,48.0,47.0,47.3,-1,-1,0,0
2023-03-21,48.0,49.0,47.6,48.4,-1,-1,0,0
2023-03-22,47.6,49.9,47.6,48.1,-1,-1,0,0
2023-03-23,49.9,51.4,49.0,49.5,-1,-1,0,0
2023-03-24,50.0,51.6,49.5,49.5,-1,-1,0,0
2023-03-27,50.0,50.6,48.1,48.2,-1,-1,0,0
2023-03-28,48.1,49.1,48.1,49.1,-1,-1,0,0
2023-03-29,49.1,49.1,48.1,48.1,-1,-1,0,0
2023-03-30,48.1,49.6,48.0,49.4,-1,-1,0,0
2023-03-31,49.6,50.4,49.6,50.0,-1,-1,0,0
2023-04-03,50.0,50.4,50.0,50.4,-1,-1,0,0
2023-04-04,50.4,50.4,50.0,50.4,-1,-1,0,0
2023-04-05,49.2,49.9,48.6,48.7,-1,-1,0,0
2023-04-06,48.7,48.7,48.5,48.5,-1,-1,0,0
2023-04-11,48.7,50.4,48.7,50.4,-1,-1,0,0
2023-04-12,49.2,50.4,49.0,50.4,-1,-1,0,0
2023-04-13,50.0,50.0,49.4,49.8,-1,-1,0,0
2023-04-14,50.0,50.8,48.7,48.7,-1,-1,0,0
2023-04-17,48.7,50.2,48.7,50.2,-1,-1,0,0
2023-04-18,50.0,50.2,49.3,50.2,-1,-1,0,0
2023-04-19,50.2,50.2,49.3,49.3,-1,-1,0,0
2023-04-20,49.2,50.0,49.2,50.0,-1,-1,0,0
2023-04-21,50.0,50.0,49.0,50.0,-1,-1,0,0
2023-04-24,50.0,50.0,50.0,50.0,-1,-1,0,0
