Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-11,60417.78,60796.13,60417.78,60796.13,-1,-1,0,0
2023-04-12,60775.39,61558.47,60775.39,61558.47,-1,-1,0,0
2023-04-13,61706.72,62277.88,61706.72,62277.88,-1,-1,0,0
2023-04-14,62490.48,62777.31,62490.48,62678.74,-1,-1,0,0
2023-04-17,62929.62,63074.98,62929.62,63074.98,-1,-1,0,0
2023-04-18,64112.42,64168.3,63951.98,63951.98,-1,-1,0,0
2023-04-19,63281.64,64011.78,63281.64,63916.91,-1,-1,0,0
2023-04-20,64416.16,64416.16,64259.78,64259.78,-1,-1,0,0
2023-04-21,63886.59,63886.59,63682.04,63873.03,-1,-1,0,0
2023-04-24,63594.9,64091.99,63594.9,64091.99,-1,-1,0,0
2023-04-25,63749.88,64109.29,63590.67,63590.67,-1,-1,0,0
2023-04-26,63565.03,63565.03,63442.16,63442.16,-1,-1,0,0
2023-04-27,64386.14,65121.46,64386.14,65121.46,-1,-1,0,0
2023-04-28,64693.15,64693.15,64408.89,64472.67,-1,-1,0,0
2023-05-02,64605.84,64874.75,64355.6,64355.6,-1,-1,0,0
2023-05-04,64184.47,64184.47,63332.67,63332.67,-1,-1,0,0
2023-05-05,63811.24,64172.52,63811.24,64172.52,-1,-1,0,0
2023-05-08,64634.25,64853.59,64634.25,64642.4,-1,-1,0,0
2023-05-09,64359.32,64682.32,64359.32,64682.32,-1,-1,0,0
2023-05-10,64643.19,65647.54,64643.19,65091.59,-1,-1,0,0
2023-05-11,65248.21,65248.21,64666.06,64666.06,-1,-1,0,0
2023-05-12,65396.7,65396.7,65231.33,65231.33,-1,-1,0,0
2023-05-15,65395.63,65395.63,65132.19,65268.74,-1,-1,0,0
2023-05-16,65595.25,65595.25,65415.58,65517.15,-1,-1,0,0
2023-05-17,65035.31,65410.02,65035.31,65084.79,-1,-1,0,0
2023-05-18,65557.93,65557.93,65208.87,65208.87,-1,-1,0,0
2023-05-19,66140.32,66535.78,66140.32,66535.78,-1,-1,0,0
2023-05-22,67054.08,67076.4,67029.93,67076.4,-1,-1,0,0
2023-05-23,67415.03,67415.03,67103.18,67103.18,-1,-1,0,0
2023-05-24,66260.12,66260.12,65731.04,65731.04,-1,-1,0,0
2023-05-25,65389.71,65479.24,65271.55,65271.55,-1,-1,0,0
2023-05-26,65555.73,66420.74,65555.73,66420.74,-1,-1,0,0
2023-05-29,66313.27,66340.53,66303.18,66303.18,-1,-1,0,0
2023-05-30,65914.66,65914.66,65394.74,65394.74,-1,-1,0,0
2023-05-31,64629.71,64629.71,63790.77,63790.77,-1,-1,0,0
2023-06-01,64361.3,65202.13,64361.3,65202.13,-1,-1,0,0
2023-06-02,66604.26,67324.7,66604.26,67324.7,-1,-1,0,0
2023-06-05,68018.92,68018.92,67338.46,67338.46,-1,-1,0,0
2023-06-06,67641.55,68315.34,67572.72,68315.34,-1,-1,0,0
2023-06-07,67671.75,67835.0,67671.75,67835.0,-1,-1,0,0
2023-06-09,68317.87,68454.79,68317.87,68354.07,-1,-1,0,0
2023-06-12,68574.01,68740.48,68118.1,68118.1,-1,-1,0,0
2023-06-13,68199.37,68199.37,67437.09,67437.09,-1,-1,0,0
2023-06-14,68575.29,68892.63,68575.29,68892.63,-1,-1,0,0
2023-06-15,68457.15,69487.27,68457.15,69487.27,-1,-1,0,0
2023-06-16,69984.82,69984.82,69635.98,69774.29,-1,-1,0,0
2023-06-19,69968.85,69968.85,69252.29,69252.29,-1,-1,0,0
2023-06-20,68937.14,68967.29,68736.26,68736.26,-1,-1,0,0
2023-06-21,69036.04,69132.86,69036.04,69054.07,-1,-1,0,0
2023-06-22,69337.61,69337.61,69180.88,69180.88,-1,-1,0,0
2023-06-23,68839.42,68839.42,68155.43,68155.43,-1,-1,0,0
2023-06-26,68139.34,69045.83,68139.34,69045.83,-1,-1,0,0
2023-06-27,68671.06,68671.06,68147.13,68284.74,-1,-1,0,0
2023-06-28,68591.96,68591.96,68237.41,68580.27,-1,-1,0,0
2023-06-29,69038.01,69180.43,68930.44,69180.43,-1,-1,0,0
2023-06-30,68940.61,69234.3,68940.61,69234.3,-1,-1,0,0
2023-07-03,69800.25,69957.91,69712.32,69957.91,-1,-1,0,0
2023-07-04,69756.18,69756.18,69428.82,69441.23,-1,-1,0,0
2023-07-05,68847.32,68847.32,68391.92,68391.92,-1,-1,0,0
2023-07-06,68145.86,68381.13,68145.86,68358.78,-1,-1,0,0
2023-07-07,69186.91,69186.91,68612.05,69182.7,-1,-1,0,0
2023-07-10,69040.73,69524.07,69040.73,69524.07,-1,-1,0,0
2023-07-11,69754.23,70007.42,69754.23,69954.97,-1,-1,0,0
2023-07-12,70504.35,71790.34,70504.35,71790.34,-1,-1,0,0
2023-07-13,72128.96,72128.96,71896.2,71896.2,-1,-1,0,0
2023-07-14,72683.88,72683.88,72408.04,72408.04,-1,-1,0,0
2023-07-17,73158.45,73158.45,72868.49,72904.96,-1,-1,0,0
2023-07-18,73157.93,73631.17,73157.93,73631.17,-1,-1,0,0
2023-07-19,74009.26,74009.26,73700.19,73888.51,-1,-1,0,0
2023-07-20,73883.9,73883.9,73644.9,73644.9,-1,-1,0,0
2023-07-21,73341.89,73601.28,73341.89,73537.08,-1,-1,0,0
2023-07-24,74037.29,74037.29,73965.51,73975.3,-1,-1,0,0
2023-07-25,74077.78,74217.75,73911.92,74217.75,-1,-1,0,0
2023-07-26,73700.54,73700.54,73514.13,73651.2,-1,-1,0,0
2023-07-27,74164.86,74302.86,74125.47,74302.86,-1,-1,0,0
2023-07-28,74089.38,74288.16,74089.38,74288.16,-1,-1,0,0
2023-07-31,74428.65,74588.28,74428.65,74588.28,-1,-1,0,0
2023-08-01,74241.49,74417.14,74241.49,74417.14,-1,-1,0,0
2023-08-02,73270.51,73397.03,73070.14,73070.14,-1,-1,0,0
2023-08-03,72746.4,73011.94,72744.66,73011.94,-1,-1,0,0
2023-08-04,73621.29,73766.76,73621.29,73766.76,-1,-1,0,0
2023-08-07,73328.37,73328.37,73112.2,73112.2,-1,-1,0,0
2023-08-08,72417.41,72417.41,71982.41,71982.41,-1,-1,0,0
2023-08-09,72764.78,72764.78,72196.17,72236.35,-1,-1,0,0
2023-08-10,72742.3,73250.39,72742.3,73196.21,-1,-1,0,0
2023-08-11,72563.61,72809.89,72563.61,72809.89,-1,-1,0,0
