Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-21,0.852,0.87,0.849,0.864,52,69,2,1
2022-11-22,0.859,0.864,0.85,0.86,52,69,2,1
2022-11-23,0.859,0.86,0.851,0.86,52,69,2,1
2022-11-24,0.859,0.918,0.859,0.9,52,69,2,1
2022-11-25,0.9,0.905,0.883,0.899,52,69,2,1
2022-11-28,0.884,0.906,0.88,0.906,52,69,2,1
2022-11-29,0.908,0.917,0.897,0.915,52,69,2,1
2022-11-30,0.918,0.938,0.908,0.936,52,69,2,1
2022-12-01,0.91,0.937,0.89,0.9,52,69,2,1
2022-12-02,0.927,0.927,0.89,0.9,52,69,2,1
2022-12-05,0.899,0.92,0.89,0.9,52,69,2,1
2022-12-06,0.901,0.903,0.876,0.903,52,69,2,1
2022-12-07,0.89,0.917,0.882,0.9,52,69,2,1
2022-12-08,0.9,0.9,0.882,0.898,52,69,2,1
2022-12-09,0.904,0.904,0.876,0.885,52,69,2,1
2022-12-12,0.888,0.899,0.877,0.884,52,69,2,1
2022-12-13,0.889,0.9,0.876,0.898,52,69,2,1
2022-12-14,0.882,0.9,0.881,0.9,52,69,2,1
2022-12-15,0.886,0.895,0.864,0.89,52,69,2,1
2022-12-16,0.889,0.89,0.871,0.872,52,69,2,1
2022-12-19,0.872,0.9,0.86,0.872,52,69,2,1
2022-12-20,0.858,0.871,0.84,0.86,52,69,2,1
2022-12-21,0.843,0.866,0.843,0.858,52,69,2,1
2022-12-22,0.858,0.86,0.841,0.85,52,69,2,1
2022-12-23,0.847,0.858,0.83,0.854,52,69,2,1
2022-12-27,0.854,0.859,0.791,0.834,52,69,2,1
2022-12-28,0.834,0.84,0.82,0.84,52,69,2,1
2022-12-29,0.849,0.883,0.834,0.878,52,69,2,1
2022-12-30,0.882,0.899,0.879,0.887,52,69,2,1
2023-01-02,0.89,0.896,0.89,0.894,52,69,2,1
2023-01-03,0.899,0.937,0.879,0.928,52,69,2,1
2023-01-04,0.932,0.932,0.913,0.93,52,69,2,1
2023-01-05,0.928,0.935,0.913,0.929,52,69,2,1
2023-01-09,0.929,0.93,0.9,0.9,52,69,2,1
2023-01-10,0.911,0.915,0.899,0.91,52,69,2,1
2023-01-11,0.911,0.914,0.896,0.91,52,69,2,1
2023-01-12,0.899,0.905,0.893,0.895,52,69,2,1
2023-01-13,0.895,0.917,0.895,0.914,52,69,2,1
2023-01-16,0.914,0.914,0.89,0.89,52,69,2,1
2023-01-17,0.892,0.918,0.892,0.908,52,69,2,1
2023-01-18,0.908,0.909,0.888,0.908,52,69,2,1
2023-01-19,0.893,0.903,0.881,0.895,52,69,2,1
2023-01-20,0.9,0.902,0.886,0.9,52,69,2,1
2023-01-23,0.9,0.91,0.9,0.907,52,69,2,1
2023-01-24,0.908,0.92,0.89,0.91,52,69,2,1
