Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-20,18.5,18.9,18.44,18.9,35,48,2,1
2023-01-23,19.0,19.14,18.7,18.88,35,48,2,1
2023-01-24,19.0,19.48,18.86,19.48,35,48,2,1
2023-01-25,19.48,19.48,18.84,18.84,35,48,2,1
2023-01-26,19.4,19.4,18.96,19.12,35,48,2,1
2023-01-27,19.28,19.38,19.0,19.3,35,48,2,1
2023-01-30,19.18,19.22,18.98,19.22,35,48,2,1
2023-01-31,19.22,20.55,19.06,20.45,35,48,2,1
2023-02-01,20.35,20.85,20.2,20.5,35,48,2,1
2023-02-02,20.55,20.9,20.5,20.75,35,48,2,1
2023-02-03,20.75,20.9,20.55,20.8,35,48,2,1
2023-02-06,20.7,20.95,20.45,20.7,35,48,2,1
2023-02-07,20.7,20.9,20.45,20.65,35,48,2,1
2023-02-08,20.7,20.85,20.6,20.85,35,48,2,1
2023-02-09,20.9,21.15,20.8,21.1,35,48,2,1
2023-02-10,21.1,21.15,20.25,20.45,35,48,2,1
2023-02-13,20.35,20.65,20.1,20.25,35,48,2,1
2023-02-14,20.2,20.65,20.15,20.3,35,48,2,1
2023-02-15,20.3,20.65,19.96,20.65,35,48,2,1
2023-02-16,20.35,20.8,20.15,20.7,35,48,2,1
2023-02-17,20.7,20.75,20.35,20.7,35,48,2,1
2023-02-20,20.85,20.85,20.35,20.6,35,48,2,1
2023-02-21,21.0,21.1,20.05,20.05,35,48,2,1
2023-02-22,20.0,20.0,19.42,19.7,35,48,2,1
2023-02-23,19.9,20.25,19.7,20.2,35,48,2,1
2023-02-24,20.2,20.2,19.62,19.84,35,48,2,1
2023-02-27,20.3,20.3,19.68,20.0,35,48,2,1
2023-02-28,20.1,20.85,19.9,20.85,35,48,2,1
2023-03-01,20.5,20.5,19.52,19.76,35,48,2,1
2023-03-02,19.86,19.92,19.06,19.24,35,48,2,1
2023-03-03,19.3,19.48,19.12,19.4,35,48,2,1
2023-03-06,19.78,20.0,19.32,19.5,35,48,2,1
2023-03-07,19.46,19.78,19.26,19.4,35,48,2,1
2023-03-08,19.3,19.86,19.3,19.74,35,48,2,1
2023-03-09,19.6,19.78,19.36,19.52,35,48,2,1
2023-03-10,19.42,19.42,18.54,18.76,35,48,2,1
2023-03-13,18.72,18.98,18.12,18.46,35,48,2,1
2023-03-14,18.14,18.84,18.14,18.74,35,48,2,1
2023-03-15,18.5,18.68,18.3,18.68,35,48,2,1
2023-03-16,18.44,19.24,18.14,18.76,35,48,2,1
2023-03-17,18.76,18.88,18.32,18.62,35,48,2,1
2023-03-20,18.58,18.64,17.94,18.6,35,48,2,1
2023-03-21,18.6,18.92,18.24,18.38,35,48,2,1
2023-03-22,18.38,18.5,18.0,18.0,35,48,2,1
2023-03-23,18.0,18.6,17.96,18.5,35,48,2,1
2023-03-24,18.2,18.64,17.82,18.0,35,48,2,1
2023-03-27,18.36,18.38,17.94,18.34,35,48,2,1
2023-03-28,18.34,18.4,18.08,18.18,35,48,2,1
2023-03-29,18.18,18.38,17.84,17.84,35,48,2,1
2023-03-30,18.0,18.8,17.96,18.76,35,48,2,1
2023-03-31,18.9,18.9,18.5,18.84,35,48,2,1
2023-04-03,18.8,18.9,18.46,18.68,35,48,2,1
2023-04-04,18.52,19.26,18.52,19.18,35,48,2,1
2023-04-05,19.18,19.18,18.42,18.42,35,48,2,1
2023-04-06,18.22,18.42,18.04,18.14,35,48,2,1
2023-04-11,18.1,18.64,18.1,18.22,35,48,2,1
2023-04-12,18.24,18.9,18.12,18.3,35,48,2,1
2023-04-13,18.26,18.44,17.92,18.0,35,48,2,1
2023-04-14,18.04,18.34,18.04,18.08,35,48,2,1
2023-04-17,18.2,18.68,18.2,18.66,35,48,2,1
2023-04-18,18.66,18.8,18.44,18.62,35,48,2,1
2023-04-19,18.62,18.78,18.36,18.78,35,48,2,1
2023-04-20,18.78,19.0,18.54,18.62,35,48,2,1
2023-04-21,18.8,18.8,18.4,18.4,35,48,2,1
2023-04-24,18.4,18.5,18.22,18.22,35,48,2,1
2023-04-25,18.3,18.42,17.84,17.88,35,48,2,1
2023-04-26,18.0,18.3,17.6,17.88,35,48,2,1
2023-04-27,17.88,18.8,17.72,18.46,35,48,2,1
2023-04-28,18.64,18.96,18.52,18.76,35,48,2,1
2023-05-02,18.92,18.92,18.16,18.18,35,48,2,1
2023-05-04,18.18,18.48,17.8,18.0,35,48,2,1
2023-05-05,18.1,18.64,18.02,18.38,35,48,2,1
2023-05-08,18.42,18.92,18.3,18.9,35,48,2,1
2023-05-09,18.98,20.0,18.8,19.88,35,48,2,1
2023-05-10,20.0,20.0,19.52,19.8,35,48,2,1
2023-05-11,20.0,20.9,19.82,20.55,35,48,2,1
2023-05-12,21.2,23.3,21.2,23.3,35,48,2,1
2023-05-15,23.3,23.85,22.6,23.0,35,48,2,1
2023-05-16,22.8,23.25,22.2,22.9,35,48,2,1
2023-05-17,22.8,23.3,22.5,23.0,35,48,2,1
2023-05-18,23.0,23.0,22.55,22.65,35,48,2,1
2023-05-19,22.55,22.75,22.3,22.5,35,48,2,1
