Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-15,3.15,3.77,3.15,3.6,43,58,2,1
2022-09-16,3.62,3.64,3.27,3.53,43,58,2,1
2022-09-19,3.27,3.48,3.27,3.48,43,58,2,1
2022-09-20,3.52,3.53,3.31,3.5,43,58,2,1
2022-09-21,3.36,3.88,3.36,3.72,43,58,2,1
2022-09-22,3.82,3.82,3.68,3.7,43,58,2,1
2022-09-23,3.7,3.7,3.63,3.65,43,58,2,1
2022-09-26,3.58,3.78,3.51,3.7,43,58,2,1
2022-09-27,3.7,3.82,3.52,3.8,43,58,2,1
2022-09-28,3.81,4.09,3.6,4.0,43,58,2,1
2022-09-29,3.96,3.96,3.66,3.85,43,58,2,1
2022-09-30,3.65,3.79,3.65,3.79,43,58,2,1
2022-10-03,3.66,3.75,3.56,3.75,43,58,2,1
2022-10-04,3.7,3.83,3.62,3.8,43,58,2,1
2022-10-05,3.88,3.88,3.64,3.8,43,58,2,1
2022-10-06,3.87,4.0,3.81,3.88,43,58,2,1
2022-10-07,3.78,3.98,3.76,3.9,43,58,2,1
2022-10-10,3.98,3.98,3.59,3.9,43,58,2,1
2022-10-11,3.89,4.1,3.78,4.1,43,58,2,1
2022-10-12,4.1,4.1,3.89,4.0,43,58,2,1
2022-10-13,3.85,4.05,3.82,3.9,43,58,2,1
2022-10-14,3.95,3.95,3.84,3.95,43,58,2,1
2022-10-17,3.97,4.0,3.96,3.96,43,58,2,1
2022-10-18,4.0,4.05,3.84,4.05,43,58,2,1
2022-10-19,4.0,4.15,3.95,4.07,43,58,2,1
2022-10-20,4.08,4.26,4.06,4.24,43,58,2,1
2022-10-21,4.24,4.24,3.96,4.09,43,58,2,1
2022-10-24,4.14,4.14,4.0,4.09,43,58,2,1
2022-10-25,4.09,4.09,3.99,4.09,43,58,2,1
2022-10-26,4.08,4.1,3.86,3.98,43,58,2,1
2022-10-27,4.08,4.08,3.91,4.04,43,58,2,1
2022-10-28,4.02,4.02,3.88,3.98,43,58,2,1
2022-10-31,3.98,4.12,3.87,4.08,43,58,2,1
2022-11-02,4.08,4.11,3.94,4.1,43,58,2,1
2022-11-03,4.11,4.24,4.08,4.2,43,58,2,1
2022-11-04,4.07,4.2,4.07,4.18,43,58,2,1
2022-11-07,4.2,4.58,4.16,4.25,43,58,2,1
2022-11-08,4.35,4.44,4.15,4.39,43,58,2,1
2022-11-09,4.3,4.39,4.25,4.39,43,58,2,1
2022-11-10,4.26,4.4,4.11,4.4,43,58,2,1
2022-11-14,4.39,4.45,4.35,4.42,43,58,2,1
2022-11-15,4.42,4.45,4.2,4.38,43,58,2,1
2022-11-16,4.25,4.4,4.13,4.16,43,58,2,1
2022-11-17,4.12,4.17,4.08,4.17,43,58,2,1
2022-11-18,4.14,4.14,4.1,4.13,43,58,2,1
2022-11-21,4.13,4.17,4.1,4.17,43,58,2,1
2022-11-22,4.1,4.15,4.06,4.1,43,58,2,1
2022-11-23,4.1,4.17,4.06,4.14,43,58,2,1
2022-11-24,4.08,4.27,4.03,4.24,43,58,2,1
2022-11-25,4.08,4.22,4.07,4.21,43,58,2,1
2022-11-28,4.22,4.22,4.22,4.22,43,58,2,1
2022-11-29,4.13,4.22,4.07,4.19,43,58,2,1
2022-11-30,4.18,4.27,4.18,4.25,43,58,2,1
2022-12-01,4.11,4.24,4.11,4.14,43,58,2,1
2022-12-02,4.14,4.2,4.06,4.19,43,58,2,1
2022-12-05,4.18,4.18,3.93,4.16,43,58,2,1
2022-12-06,3.97,4.15,3.95,4.11,43,58,2,1
2022-12-07,4.17,4.17,4.16,4.16,43,58,2,1
2022-12-08,4.16,4.16,4.16,4.16,43,58,2,1
2022-12-09,4.16,4.16,4.05,4.1,43,58,2,1
2022-12-12,4.06,4.64,4.06,4.46,43,58,2,1
2022-12-13,4.5,4.66,4.42,4.5,43,58,2,1
2022-12-14,4.58,4.58,4.15,4.35,43,58,2,1
2022-12-15,4.36,4.36,4.22,4.34,43,58,2,1
2022-12-16,4.36,4.49,4.25,4.31,43,58,2,1
2022-12-19,4.31,4.49,4.25,4.25,43,58,2,1
2022-12-20,4.25,4.46,4.17,4.37,43,58,2,1
2022-12-21,4.37,4.38,4.23,4.38,43,58,2,1
2022-12-22,4.38,4.38,4.3,4.33,43,58,2,1
2022-12-23,4.31,4.37,4.27,4.36,43,58,2,1
2022-12-27,4.29,4.35,4.12,4.22,43,58,2,1
2022-12-28,4.26,4.33,4.15,4.26,43,58,2,1
2022-12-29,4.26,4.47,4.26,4.39,43,58,2,1
2022-12-30,4.42,4.49,4.39,4.45,43,58,2,1
2023-01-02,4.48,4.64,4.39,4.64,43,58,2,1
2023-01-03,4.67,4.71,4.5,4.61,43,58,2,1
2023-01-04,4.7,4.7,4.58,4.59,43,58,2,1
2023-01-05,4.54,4.6,4.21,4.43,43,58,2,1
2023-01-09,4.43,4.58,4.43,4.54,43,58,2,1
2023-01-10,4.49,4.55,4.49,4.55,43,58,2,1
2023-01-11,4.53,4.53,4.39,4.45,43,58,2,1
2023-01-12,4.45,5.34,4.45,5.04,43,58,2,1
2023-01-13,5.22,7.1,4.74,7.1,43,58,2,1
2023-01-16,7.6,9.5,7.6,8.02,43,58,2,1
2023-01-17,8.0,8.0,7.38,7.56,43,58,2,1
2023-01-18,7.58,7.98,7.3,7.38,43,58,2,1
2023-01-19,7.38,7.48,7.14,7.2,43,58,2,1
2023-01-20,7.26,9.0,7.22,9.0,43,58,2,1
2023-01-23,9.0,9.94,8.6,8.88,43,58,2,1
2023-01-24,8.9,9.3,8.44,8.56,43,58,2,1
2023-01-25,8.46,8.84,8.42,8.5,43,58,2,1
2023-01-26,8.5,9.24,8.5,8.8,43,58,2,1
2023-01-27,8.76,8.94,8.62,8.72,43,58,2,1
2023-01-30,8.86,8.9,8.3,8.38,43,58,2,1
2023-01-31,8.3,8.48,8.04,8.22,43,58,2,1
2023-02-01,8.22,8.26,7.72,7.8,43,58,2,1
2023-02-02,7.9,8.2,7.72,7.84,43,58,2,1
2023-02-03,7.9,8.18,7.82,8.08,43,58,2,1
2023-02-06,8.08,8.84,8.0,8.5,43,58,2,1
2023-02-07,8.46,8.62,8.18,8.18,43,58,2,1
2023-02-08,8.46,8.78,8.12,8.6,43,58,2,1
2023-02-09,8.8,9.0,8.44,8.5,43,58,2,1
