Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-22,39.7,39.7,39.0,39.45,28,38,2,1
2022-12-23,39.6,39.6,38.8,39.3,28,38,2,1
2022-12-27,39.2,39.4,38.0,38.7,28,38,2,1
2022-12-28,38.9,39.45,38.7,39.0,28,38,2,1
2022-12-29,39.6,39.6,39.0,39.0,28,38,2,1
2022-12-30,39.0,39.2,38.75,39.2,28,38,2,1
2023-01-02,39.25,39.65,38.9,39.45,28,38,2,1
2023-01-03,39.25,40.75,38.9,40.75,28,38,2,1
2023-01-04,40.75,41.7,40.55,41.45,28,38,2,1
2023-01-05,41.4,41.4,40.2,41.0,28,38,2,1
2023-01-09,41.0,41.3,39.0,40.95,28,38,2,1
2023-01-10,40.9,40.9,38.7,39.45,28,38,2,1
2023-01-11,40.4,40.4,39.5,39.5,28,38,2,1
2023-01-12,39.5,40.0,39.0,39.8,28,38,2,1
2023-01-13,39.95,40.0,39.2,39.55,28,38,2,1
2023-01-16,40.0,40.05,39.5,39.5,28,38,2,1
2023-01-17,40.45,40.45,39.3,39.6,28,38,2,1
2023-01-18,39.7,39.8,39.0,39.5,28,38,2,1
2023-01-19,39.5,39.65,39.1,39.5,28,38,2,1
2023-01-20,39.6,39.6,38.8,38.85,28,38,2,1
2023-01-23,39.05,39.5,39.0,39.25,28,38,2,1
2023-01-24,39.4,39.45,38.8,39.15,28,38,2,1
2023-01-25,39.45,39.5,38.7,39.5,28,38,2,1
2023-01-26,38.75,39.5,38.7,39.5,28,38,2,1
2023-01-27,39.45,40.35,39.0,40.3,28,38,2,1
2023-01-30,39.2,39.8,38.5,39.0,28,38,2,1
2023-01-31,39.75,39.85,38.75,39.75,28,38,2,1
2023-02-01,38.0,39.9,36.5,37.9,28,38,2,1
2023-02-02,37.8,38.6,37.3,37.7,28,38,2,1
2023-02-03,38.25,38.25,37.35,37.55,28,38,2,1
2023-02-06,37.3,37.4,36.75,36.95,28,38,2,1
2023-02-07,36.95,37.1,36.5,37.0,28,38,2,1
2023-02-08,37.0,38.5,36.4,37.2,28,38,2,1
2023-02-09,37.2,38.5,36.6,37.2,28,38,2,1
2023-02-10,37.2,37.2,36.2,37.0,28,38,2,1
2023-02-13,37.0,37.0,36.15,36.6,28,38,2,1
2023-02-14,36.9,37.0,36.0,37.0,28,38,2,1
2023-02-15,37.0,38.05,36.5,38.0,28,38,2,1
2023-02-16,38.0,38.0,37.0,37.8,28,38,2,1
2023-02-17,37.95,37.95,36.45,37.2,28,38,2,1
2023-02-20,37.1,37.1,37.0,37.0,28,38,2,1
2023-02-21,36.9,37.8,36.9,37.5,28,38,2,1
2023-02-22,37.7,37.7,36.5,37.0,28,38,2,1
2023-02-23,37.0,37.0,36.7,37.0,28,38,2,1
2023-02-24,37.2,37.2,36.65,36.95,28,38,2,1
2023-02-27,36.65,37.2,36.65,37.2,28,38,2,1
2023-02-28,37.2,37.2,36.65,36.8,28,38,2,1
2023-03-01,36.8,37.2,36.8,37.2,28,38,2,1
2023-03-02,37.4,37.4,36.3,36.3,28,38,2,1
2023-03-03,36.6,36.85,36.35,36.5,28,38,2,1
2023-03-06,36.75,37.3,36.75,37.1,28,38,2,1
2023-03-07,37.1,37.4,36.6,37.4,28,38,2,1
2023-03-08,37.0,37.3,36.8,37.3,28,38,2,1
2023-03-09,37.3,37.3,35.95,36.55,28,38,2,1
2023-03-10,35.95,36.6,35.55,36.15,28,38,2,1
2023-03-13,36.05,36.05,35.0,35.75,28,38,2,1
2023-03-14,35.75,35.75,35.2,35.65,28,38,2,1
2023-03-15,35.65,35.65,34.2,34.95,28,38,2,1
2023-03-16,34.95,34.95,34.0,34.95,28,38,2,1
2023-03-17,34.95,35.75,34.9,35.0,28,38,2,1
2023-03-20,35.0,36.0,35.0,36.0,28,38,2,1
2023-03-21,37.0,37.4,35.25,37.35,28,38,2,1
2023-03-22,37.3,37.9,37.0,37.9,28,38,2,1
2023-03-23,37.1,37.9,37.05,37.9,28,38,2,1
2023-03-24,37.9,37.9,36.95,37.8,28,38,2,1
2023-03-27,37.9,37.9,36.7,37.1,28,38,2,1
2023-03-28,37.1,37.1,36.55,36.75,28,38,2,1
2023-03-29,40.0,41.75,38.2,40.95,28,38,2,1
2023-03-30,41.0,41.65,39.5,40.5,28,38,2,1
