Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-15,6.405,6.525,6.31,6.475,-1,-1,0,0
2023-06-16,6.52,6.595,6.45,6.475,-1,-1,0,0
2023-06-19,6.58,6.765,6.54,6.69,-1,-1,0,0
2023-06-20,6.69,6.69,6.51,6.525,-1,-1,0,0
2023-06-21,6.53,6.57,6.47,6.47,-1,-1,0,0
2023-06-22,6.49,6.635,6.46,6.46,-1,-1,0,0
2023-06-23,6.46,6.565,6.42,6.485,-1,-1,0,0
2023-06-26,6.455,6.47,6.385,6.385,-1,-1,0,0
2023-06-27,6.385,6.44,6.225,6.265,-1,-1,0,0
2023-06-28,6.3,6.46,6.3,6.4,-1,-1,0,0
2023-06-29,6.42,6.64,6.41,6.48,-1,-1,0,0
2023-06-30,6.5,6.535,6.355,6.395,-1,-1,0,0
2023-07-03,6.485,6.62,6.45,6.49,-1,-1,0,0
2023-07-04,6.46,6.72,6.46,6.53,-1,-1,0,0
2023-07-05,6.6,6.6,6.5,6.52,-1,-1,0,0
2023-07-06,6.54,6.765,6.51,6.66,-1,-1,0,0
2023-07-07,6.66,6.765,6.6,6.69,-1,-1,0,0
2023-07-10,6.68,6.725,6.61,6.62,-1,-1,0,0
2023-07-11,6.695,6.695,6.485,6.54,-1,-1,0,0
2023-07-12,6.585,6.65,6.555,6.595,-1,-1,0,0
2023-07-13,6.61,6.88,6.61,6.83,-1,-1,0,0
2023-07-14,6.83,6.93,6.75,6.76,-1,-1,0,0
2023-07-17,8.3,8.95,8.005,8.8,-1,-1,0,0
2023-07-18,8.88,9.125,8.51,9.07,-1,-1,0,0
2023-07-19,9.0,9.085,8.705,8.97,-1,-1,0,0
2023-07-20,8.86,9.1,8.86,9.08,-1,-1,0,0
2023-07-21,8.98,9.07,8.82,8.955,-1,-1,0,0
2023-07-24,8.95,9.07,8.94,9.015,-1,-1,0,0
2023-07-25,9.0,9.125,8.91,9.035,-1,-1,0,0
2023-07-26,8.99,9.065,8.805,8.805,-1,-1,0,0
2023-07-27,8.82,8.86,8.65,8.745,-1,-1,0,0
2023-07-28,8.74,8.745,8.495,8.58,-1,-1,0,0
2023-07-31,8.59,8.885,8.575,8.81,-1,-1,0,0
2023-08-01,8.8,8.98,8.77,8.98,-1,-1,0,0
2023-08-02,8.9,8.975,8.77,8.805,-1,-1,0,0
2023-08-03,8.7,8.815,8.665,8.77,-1,-1,0,0
2023-08-04,8.75,8.895,8.675,8.72,-1,-1,0,0
2023-08-07,8.775,8.92,8.68,8.87,-1,-1,0,0
2023-08-08,8.86,8.94,8.685,8.89,-1,-1,0,0
2023-08-09,8.85,9.0,8.815,9.0,-1,-1,0,0
2023-08-10,8.975,9.195,8.87,8.9,-1,-1,0,0
2023-08-11,8.92,9.05,8.8,9.01,-1,-1,0,0
2023-08-14,8.98,9.07,8.85,8.99,-1,-1,0,0
2023-08-16,9.045,9.045,8.735,8.82,-1,-1,0,0
2023-08-17,8.895,8.93,8.69,8.86,-1,-1,0,0
2023-08-18,8.9,9.08,8.775,9.08,-1,-1,0,0
2023-08-21,9.055,9.2,8.84,9.095,-1,-1,0,0
2023-08-22,9.095,9.2,8.985,9.15,-1,-1,0,0
2023-08-23,9.11,9.3,9.095,9.265,-1,-1,0,0
2023-08-24,9.3,9.3,9.05,9.08,-1,-1,0,0
