Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-08-07,16.5,16.85,15.8,15.95,-1,-1,0,0
2023-08-08,15.8,15.95,15.5,15.9,-1,-1,0,0
2023-08-09,15.8,15.95,15.5,15.8,-1,-1,0,0
2023-08-10,15.95,15.95,15.65,15.8,-1,-1,0,0
2023-08-11,15.8,15.8,15.6,15.6,-1,-1,0,0
2023-08-14,15.6,15.6,15.3,15.55,-1,-1,0,0
2023-08-16,15.55,15.55,15.2,15.45,-1,-1,0,0
2023-08-17,15.05,15.15,14.85,15.0,-1,-1,0,0
2023-08-18,15.2,15.6,14.9,15.55,-1,-1,0,0
2023-08-21,15.55,17.55,15.55,17.1,-1,-1,0,0
2023-08-22,17.7,19.45,17.7,18.25,-1,-1,0,0
2023-08-23,18.35,18.8,17.2,17.6,-1,-1,0,0
2023-08-24,17.95,17.95,16.9,17.3,-1,-1,0,0
2023-08-25,17.0,17.9,16.7,17.8,-1,-1,0,0
2023-08-28,17.9,18.3,16.5,17.4,-1,-1,0,0
2023-08-29,17.3,17.3,15.6,16.1,-1,-1,0,0
2023-08-30,16.1,16.6,15.7,16.5,-1,-1,0,0
2023-08-31,16.5,16.65,15.75,16.0,-1,-1,0,0
