Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-03,17.1,17.4,16.25,17.4,-1,-1,0,0
2022-10-04,17.73,18.9,17.73,18.7,-1,-1,0,0
2022-10-05,18.8,18.8,18.0,18.0,-1,-1,0,0
2022-10-06,18.32,18.82,17.8,17.95,-1,-1,0,0
2022-10-07,17.85,18.0,17.51,17.8,-1,-1,0,0
2022-10-10,17.21,17.54,17.1,17.1,-1,-1,0,0
2022-10-11,16.99,17.66,16.52,17.05,-1,-1,0,0
2022-10-12,16.81,17.28,16.72,16.94,-1,-1,0,0
2022-10-13,16.91,17.0,15.89,16.5,-1,-1,0,0
2022-10-14,17.25,17.7,16.97,17.32,-1,-1,0,0
2022-10-17,17.6,17.86,17.14,17.79,-1,-1,0,0
2022-10-18,18.01,18.47,17.9,18.05,-1,-1,0,0
2022-10-19,18.18,18.18,17.37,17.6,-1,-1,0,0
2022-10-20,17.32,18.2,17.14,18.06,-1,-1,0,0
2022-10-21,17.8,18.0,17.38,17.85,-1,-1,0,0
2022-10-24,18.1,18.54,17.75,18.3,-1,-1,0,0
2022-10-25,18.47,18.62,17.93,18.48,-1,-1,0,0
2022-10-26,18.48,19.6,18.48,19.55,-1,-1,0,0
2022-10-27,19.53,20.16,19.25,20.16,-1,-1,0,0
2022-10-28,19.47,20.4,19.41,20.19,-1,-1,0,0
