Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-02,85.0,85.0,83.1,84.0,-1,-1,0,0
2022-12-05,84.0,85.1,83.1,84.6,-1,-1,0,0
2022-12-06,84.2,84.2,81.2,82.8,-1,-1,0,0
2022-12-07,82.0,82.8,80.8,82.8,-1,-1,0,0
2022-12-08,83.0,83.7,82.4,83.5,-1,-1,0,0
2022-12-09,83.5,83.7,82.6,83.7,-1,-1,0,0
2022-12-12,83.5,83.7,82.1,83.7,-1,-1,0,0
2022-12-13,83.7,85.0,82.2,85.0,-1,-1,0,0
2022-12-14,85.0,85.0,83.9,84.4,-1,-1,0,0
2022-12-15,84.0,84.0,80.7,80.9,-1,-1,0,0
2022-12-16,80.3,80.9,77.4,80.5,-1,-1,0,0
2022-12-19,80.0,80.8,77.9,78.4,-1,-1,0,0
2022-12-20,78.0,78.0,76.5,76.5,-1,-1,0,0
2022-12-21,76.5,78.4,75.0,76.0,-1,-1,0,0
2022-12-22,76.0,76.0,74.4,75.2,-1,-1,0,0
2022-12-23,75.4,75.9,75.1,75.4,-1,-1,0,0
2022-12-27,75.4,75.4,72.9,74.1,-1,-1,0,0
2022-12-28,72.8,72.8,71.5,72.4,-1,-1,0,0
2022-12-29,72.2,75.0,72.2,75.0,-1,-1,0,0
2022-12-30,75.0,75.8,73.7,75.8,-1,-1,0,0
2023-01-02,76.0,78.0,75.9,78.0,-1,-1,0,0
2023-01-03,78.0,80.8,78.0,80.6,-1,-1,0,0
2023-01-04,80.6,81.4,80.5,80.6,-1,-1,0,0
2023-01-05,80.8,84.7,80.8,84.7,-1,-1,0,0
2023-01-09,85.0,89.5,85.0,89.4,-1,-1,0,0
2023-01-10,90.0,94.0,90.0,92.0,-1,-1,0,0
2023-01-11,93.0,95.0,86.4,89.0,-1,-1,0,0
2023-01-12,88.2,91.4,88.0,88.0,-1,-1,0,0
2023-01-13,88.4,90.0,88.3,89.5,-1,-1,0,0
2023-01-16,89.3,89.4,86.1,88.8,-1,-1,0,0
2023-01-17,88.6,88.8,86.8,86.8,-1,-1,0,0
2023-01-18,88.6,89.4,84.3,86.0,-1,-1,0,0
2023-01-19,85.7,85.9,83.1,84.2,-1,-1,0,0
2023-01-20,83.8,86.5,83.2,86.5,-1,-1,0,0
2023-01-23,87.0,89.0,86.0,89.0,-1,-1,0,0
2023-01-24,89.0,89.7,87.0,88.3,-1,-1,0,0
2023-01-25,88.3,89.0,86.0,86.5,-1,-1,0,0
2023-01-26,86.5,88.0,86.5,87.4,-1,-1,0,0
2023-01-27,87.8,88.5,86.0,87.5,-1,-1,0,0
2023-01-30,87.2,89.2,85.3,86.0,-1,-1,0,0
2023-01-31,85.4,87.5,85.0,87.5,-1,-1,0,0
2023-02-01,87.5,89.3,87.0,89.2,-1,-1,0,0
2023-02-02,89.4,89.6,87.2,89.5,-1,-1,0,0
2023-02-03,89.7,91.4,87.7,89.3,-1,-1,0,0
2023-02-06,89.3,89.5,87.1,87.6,-1,-1,0,0
2023-02-07,87.6,87.6,86.0,86.9,-1,-1,0,0
2023-02-08,87.1,89.3,87.0,88.7,-1,-1,0,0
2023-02-09,88.7,90.0,87.8,89.0,-1,-1,0,0
2023-02-10,88.1,88.7,83.5,85.7,-1,-1,0,0
