Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-07-25,2510.07,2516.22,2486.71,2516.22,-1,-1,0,0
2022-07-26,2513.08,2516.38,2485.56,2489.32,-1,-1,0,0
2022-07-27,2509.98,2525.71,2451.77,2473.49,-1,-1,0,0
2022-07-28,2478.5,2498.32,2448.24,2480.11,-1,-1,0,0
2022-07-29,2496.58,2496.58,2475.04,2490.68,-1,-1,0,0
2022-08-01,2530.77,2531.36,2499.26,2509.62,-1,-1,0,0
2022-08-02,2514.13,2541.33,2513.96,2528.18,-1,-1,0,0
2022-08-03,2535.46,2543.82,2514.26,2543.82,-1,-1,0,0
2022-08-04,2544.37,2560.17,2534.73,2559.75,-1,-1,0,0
2022-08-05,2569.07,2583.15,2545.37,2583.15,-1,-1,0,0
2022-08-08,2578.94,2655.53,2568.25,2647.66,-1,-1,0,0
2022-08-09,2642.58,2654.09,2637.47,2649.94,-1,-1,0,0
2022-08-10,2637.39,2646.52,2588.17,2629.68,-1,-1,0,0
2022-08-11,2633.14,2639.53,2600.0,2626.86,-1,-1,0,0
2022-08-12,2601.22,2625.16,2600.08,2613.9,-1,-1,0,0
2022-08-16,2617.42,2656.27,2607.05,2647.5,-1,-1,0,0
2022-08-17,2639.03,2664.51,2621.04,2664.51,-1,-1,0,0
2022-08-18,2640.58,2651.46,2624.71,2645.37,-1,-1,0,0
2022-08-19,2676.15,2676.15,2644.93,2672.52,-1,-1,0,0
2022-08-22,2653.35,2667.65,2593.19,2628.58,-1,-1,0,0
2022-08-23,2616.0,2627.24,2590.08,2619.08,-1,-1,0,0
2022-08-24,2622.54,2649.15,2613.15,2618.29,-1,-1,0,0
2022-08-25,2638.8,2665.9,2625.36,2656.15,-1,-1,0,0
2022-08-26,2657.1,2658.42,2609.66,2636.13,-1,-1,0,0
2022-08-29,2599.09,2627.75,2583.67,2583.67,-1,-1,0,0
2022-08-30,2607.44,2607.44,2531.75,2531.75,-1,-1,0,0
2022-08-31,2544.54,2567.95,2496.78,2505.04,-1,-1,0,0
2022-09-01,2495.25,2506.16,2478.92,2492.73,-1,-1,0,0
2022-09-02,2496.36,2511.28,2484.03,2487.54,-1,-1,0,0
2022-09-05,2507.48,2550.01,2507.48,2542.76,-1,-1,0,0
2022-09-06,2567.75,2568.43,2509.13,2529.27,-1,-1,0,0
2022-09-07,2558.97,2562.88,2499.41,2546.87,-1,-1,0,0
2022-09-08,2570.67,2633.31,2540.21,2543.5,-1,-1,0,0
2022-09-09,2550.44,2569.47,2550.44,2567.33,-1,-1,0,0
2022-09-12,2568.13,2582.0,2516.35,2535.49,-1,-1,0,0
2022-09-13,2516.71,2528.36,2474.01,2475.47,-1,-1,0,0
2022-09-14,2468.2,2491.92,2440.85,2491.92,-1,-1,0,0
2022-09-15,2507.14,2520.11,2487.62,2520.11,-1,-1,0,0
2022-09-16,2513.07,2529.05,2496.4,2529.05,-1,-1,0,0
2022-09-19,2539.49,2547.01,2487.55,2547.01,-1,-1,0,0
2022-09-20,2548.31,2555.33,2503.31,2503.7,-1,-1,0,0
2022-09-21,2509.16,2530.55,2488.3,2524.46,-1,-1,0,0
2022-09-22,2517.39,2517.39,2486.0,2507.79,-1,-1,0,0
2022-09-23,2518.07,2520.31,2451.0,2466.97,-1,-1,0,0
2022-09-26,2493.19,2496.16,2404.42,2440.36,-1,-1,0,0
2022-09-27,2432.2,2483.89,2432.2,2449.46,-1,-1,0,0
2022-09-28,2474.89,2474.89,2378.68,2389.81,-1,-1,0,0
2022-09-29,2407.89,2413.47,2348.79,2353.96,-1,-1,0,0
2022-09-30,2382.1,2389.13,2331.94,2358.33,-1,-1,0,0
2022-10-03,2365.27,2378.07,2351.76,2372.5,-1,-1,0,0
2022-10-04,2397.83,2425.42,2386.65,2425.42,-1,-1,0,0
2022-10-05,2433.25,2439.77,2399.9,2410.91,-1,-1,0,0
2022-10-06,2437.04,2438.29,2411.23,2426.58,-1,-1,0,0
2022-10-07,2395.09,2425.45,2384.6,2393.49,-1,-1,0,0
2022-10-10,2393.1,2412.97,2361.95,2372.89,-1,-1,0,0
2022-10-11,2377.27,2399.78,2332.26,2355.47,-1,-1,0,0
2022-10-12,2366.91,2400.36,2353.41,2399.89,-1,-1,0,0
2022-10-13,2415.46,2415.62,2353.25,2392.22,-1,-1,0,0
2022-10-14,2424.25,2439.69,2399.2,2411.42,-1,-1,0,0
2022-10-17,2424.62,2430.65,2396.87,2430.65,-1,-1,0,0
2022-10-18,2436.14,2463.85,2413.56,2424.19,-1,-1,0,0
2022-10-19,2443.93,2443.93,2376.78,2383.43,-1,-1,0,0
2022-10-20,2418.95,2418.95,2351.96,2359.75,-1,-1,0,0
2022-10-21,2356.91,2363.35,2328.08,2335.97,-1,-1,0,0
2022-10-24,2355.49,2361.44,2310.06,2319.41,-1,-1,0,0
2022-10-25,2322.33,2365.33,2316.78,2340.24,-1,-1,0,0
2022-10-26,2371.85,2376.43,2347.73,2367.17,-1,-1,0,0
2022-10-27,2381.11,2383.28,2344.31,2365.06,-1,-1,0,0
2022-10-28,2373.93,2408.07,2371.31,2390.25,-1,-1,0,0
2022-10-31,2407.92,2418.93,2378.87,2392.36,-1,-1,0,0
2022-11-02,2401.18,2422.73,2367.18,2402.49,-1,-1,0,0
2022-11-03,2383.79,2402.0,2368.75,2371.25,-1,-1,0,0
2022-11-04,2378.08,2445.27,2375.93,2445.27,-1,-1,0,0
2022-11-07,2443.39,2477.94,2439.51,2449.53,-1,-1,0,0
2022-11-08,2459.32,2467.45,2436.43,2467.45,-1,-1,0,0
2022-11-09,2486.83,2486.83,2442.32,2442.32,-1,-1,0,0
2022-11-10,2449.37,2451.1,2435.74,2443.62,-1,-1,0,0
2022-11-14,2452.99,2456.8,2412.47,2442.47,-1,-1,0,0
2022-11-15,2442.93,2462.64,2421.4,2453.27,-1,-1,0,0
2022-11-16,2448.02,2465.75,2422.47,2465.42,-1,-1,0,0
2022-11-17,2466.82,2499.38,2464.43,2477.56,-1,-1,0,0
2022-11-18,2483.82,2500.44,2476.42,2491.69,-1,-1,0,0
2022-11-21,2484.51,2484.51,2458.29,2472.44,-1,-1,0,0
2022-11-22,2490.71,2492.75,2439.5,2446.22,-1,-1,0,0
2022-11-23,2471.66,2472.89,2435.35,2471.98,-1,-1,0,0
2022-11-24,2481.19,2481.53,2450.5,2459.5,-1,-1,0,0
2022-11-25,2465.35,2478.58,2420.76,2478.58,-1,-1,0,0
