Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-09,36.6,38.5,36.6,36.9,14,19,4,1
2023-06-12,36.9,37.2,36.8,37.2,14,19,4,1
2023-06-13,38.8,38.8,37.3,37.3,14,19,4,1
2023-06-14,38.0,38.5,37.2,37.8,14,19,4,1
2023-06-15,37.8,38.0,37.1,37.1,14,19,4,1
2023-06-16,36.5,38.1,34.0,34.0,14,19,4,1
2023-06-19,34.2,34.6,33.1,34.6,14,19,4,1
2023-06-20,35.4,35.6,34.0,35.6,14,19,4,1
2023-06-21,34.0,34.4,33.2,33.2,14,19,4,1
2023-06-22,33.2,35.0,33.1,35.0,14,19,4,1
2023-06-23,35.0,35.8,34.4,34.4,14,19,4,1
2023-06-26,33.8,35.4,33.8,35.0,14,19,4,1
2023-06-27,33.8,34.0,32.2,34.0,14,19,4,1
2023-06-28,34.0,34.8,34.0,34.0,14,19,4,1
2023-06-29,34.8,34.8,34.0,34.6,14,19,4,1
2023-06-30,34.0,34.9,33.1,34.5,14,19,4,1
2023-07-03,34.0,34.4,33.0,34.4,14,19,4,1
2023-07-04,34.3,34.3,32.9,33.7,14,19,4,1
2023-07-05,34.2,34.2,32.7,34.0,14,19,4,1
2023-07-06,34.0,34.0,33.0,33.8,14,19,4,1
2023-07-07,33.5,34.0,33.5,34.0,14,19,4,1
2023-07-10,34.0,34.8,33.6,34.8,14,19,4,1
2023-07-11,34.3,35.0,33.0,34.2,14,19,4,1
2023-07-12,34.7,35.0,34.5,35.0,14,19,4,1
2023-07-13,35.4,35.4,33.3,35.2,14,19,4,1
2023-07-14,35.1,35.1,34.3,34.9,14,19,4,1
2023-07-17,34.0,34.7,33.8,33.8,14,19,4,1
2023-07-18,34.8,34.8,34.5,34.5,14,19,4,1
2023-07-19,33.7,34.4,33.5,34.4,14,19,4,1
2023-07-20,34.7,34.7,34.0,34.7,14,19,4,1
2023-07-21,34.7,34.8,34.7,34.8,14,19,4,1
2023-07-24,34.8,35.2,34.2,35.2,14,19,4,1
2023-07-25,34.1,35.0,34.1,35.0,14,19,4,1
2023-07-26,35.0,35.0,35.0,35.0,14,19,4,1
2023-07-27,34.9,35.4,34.9,35.4,14,19,4,1
