Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-04,91.0,97.8,91.0,95.0,15,20,4,1
2022-10-05,95.5,96.9,93.7,93.7,15,20,4,1
2022-10-06,93.8,96.8,93.1,95.3,15,20,4,1
2022-10-07,96.0,96.0,93.1,94.5,15,20,4,1
2022-10-10,94.0,94.0,92.2,93.0,15,20,4,1
2022-10-11,93.9,93.9,91.0,92.0,15,20,4,1
2022-10-12,93.9,93.9,89.7,90.0,15,20,4,1
2022-10-13,90.0,92.4,90.0,90.0,15,20,4,1
2022-10-14,90.4,92.7,90.4,91.0,15,20,4,1
2022-10-17,92.6,92.6,89.3,91.0,15,20,4,1
2022-10-18,92.0,92.0,89.2,91.5,15,20,4,1
2022-10-19,92.0,92.0,89.0,89.0,15,20,4,1
2022-10-20,90.0,90.6,88.6,89.4,15,20,4,1
2022-10-21,90.9,90.9,87.8,90.5,15,20,4,1
2022-10-24,91.0,91.0,87.8,88.9,15,20,4,1
2022-10-25,90.0,91.9,88.4,90.0,15,20,4,1
2022-10-26,88.2,93.5,88.2,93.0,15,20,4,1
2022-10-27,93.0,94.5,93.0,94.5,15,20,4,1
2022-10-28,94.8,94.8,90.5,91.0,15,20,4,1
2022-10-31,92.0,92.8,89.5,92.8,15,20,4,1
2022-11-02,92.8,94.9,89.6,94.9,15,20,4,1
2022-11-03,94.5,94.5,93.0,93.2,15,20,4,1
2022-11-04,94.0,96.0,94.0,96.0,15,20,4,1
2022-11-07,96.0,102.0,95.0,102.0,15,20,4,1
2022-11-08,101.8,102.2,98.2,102.0,15,20,4,1
2022-11-09,102.0,104.0,97.2,98.0,15,20,4,1
2022-11-10,97.0,98.4,95.0,97.0,15,20,4,1
2022-11-14,98.2,99.9,97.6,99.9,15,20,4,1
2022-11-15,99.2,99.2,97.0,97.1,15,20,4,1
2022-11-16,97.0,100.4,96.3,100.4,15,20,4,1
2022-11-17,99.4,99.9,97.3,99.9,15,20,4,1
2022-11-18,99.0,99.9,97.6,98.9,15,20,4,1
2022-11-21,99.7,99.9,97.3,98.9,15,20,4,1
2022-11-22,99.8,100.0,96.4,98.5,15,20,4,1
