Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-05,5.59,5.85,5.422,5.65,14,17,4,1
2022-12-06,5.7,5.792,5.58,5.666,14,17,4,1
2022-12-07,5.722,5.994,5.626,5.856,14,17,4,1
2022-12-08,5.87,5.9,5.758,5.76,14,17,4,1
2022-12-09,5.77,5.948,5.75,5.85,14,17,4,1
2022-12-12,5.89,6.06,5.752,5.938,14,17,4,1
2022-12-13,5.95,5.958,5.772,5.81,14,17,4,1
2022-12-14,5.826,5.976,5.764,5.768,14,17,4,1
2022-12-15,5.768,5.8,5.66,5.694,14,17,4,1
2022-12-16,5.69,5.76,5.45,5.562,14,17,4,1
2022-12-19,5.67,5.758,5.5,5.5,14,17,4,1
2022-12-20,5.47,5.586,5.352,5.542,14,17,4,1
2022-12-21,5.55,5.85,5.55,5.72,14,17,4,1
2022-12-22,5.73,5.798,5.55,5.582,14,17,4,1
2022-12-23,5.646,5.646,5.55,5.6,14,17,4,1
2022-12-27,5.58,5.744,5.55,5.55,14,17,4,1
2022-12-28,5.55,5.7,5.502,5.572,14,17,4,1
2022-12-29,5.62,6.04,5.604,6.03,14,17,4,1
2022-12-30,6.0,6.322,5.922,5.99,14,17,4,1
2023-01-02,5.96,6.198,5.88,6.036,14,17,4,1
2023-01-03,6.15,6.476,6.15,6.27,14,17,4,1
2023-01-04,6.35,6.448,6.252,6.39,14,17,4,1
2023-01-05,6.362,6.44,6.26,6.284,14,17,4,1
2023-01-09,6.3,6.46,6.222,6.26,14,17,4,1
2023-01-10,6.266,6.392,6.15,6.31,14,17,4,1
2023-01-11,6.36,6.648,6.33,6.42,14,17,4,1
2023-01-12,6.53,6.55,6.08,6.09,14,17,4,1
2023-01-13,6.09,6.33,6.09,6.25,14,17,4,1
2023-01-16,6.25,6.252,6.112,6.16,14,17,4,1
