Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-08,4.44,4.44,4.44,4.44,19,24,4,1
2023-05-09,4.44,4.44,4.44,4.44,19,24,4,1
2023-05-10,4.44,4.44,4.44,4.44,19,24,4,1
2023-05-11,4.44,4.44,4.44,4.44,19,24,4,1
2023-05-12,4.44,4.44,4.44,4.44,19,24,4,1
2023-05-15,4.44,4.44,4.44,4.44,19,24,4,1
2023-05-16,4.44,4.44,4.44,4.44,19,24,4,1
2023-05-17,4.44,4.44,4.44,4.44,19,24,4,1
2023-05-18,4.4,4.4,4.36,4.36,19,24,4,1
2023-05-19,4.36,4.36,4.36,4.36,19,24,4,1
2023-05-22,4.36,4.36,4.36,4.36,19,24,4,1
2023-05-23,4.36,4.36,4.36,4.36,19,24,4,1
2023-05-24,4.36,4.36,4.36,4.36,19,24,4,1
2023-05-25,4.36,4.36,4.36,4.36,19,24,4,1
2023-05-26,4.36,4.36,4.36,4.36,19,24,4,1
2023-05-29,4.46,4.56,4.46,4.56,19,24,4,1
2023-05-30,4.58,4.6,4.52,4.52,19,24,4,1
2023-05-31,4.52,4.52,4.52,4.52,19,24,4,1
2023-06-01,4.52,4.52,4.52,4.52,19,24,4,1
2023-06-02,4.52,4.52,4.52,4.52,19,24,4,1
2023-06-05,4.52,4.52,4.52,4.52,19,24,4,1
2023-06-06,4.6,4.6,4.6,4.6,19,24,4,1
2023-06-07,4.6,4.6,4.6,4.6,19,24,4,1
2023-06-09,4.6,4.6,4.46,4.46,19,24,4,1
2023-06-12,4.6,4.6,4.6,4.6,19,24,4,1
2023-06-13,4.6,4.6,4.6,4.6,19,24,4,1
2023-06-14,4.6,4.6,4.6,4.6,19,24,4,1
2023-06-15,4.6,4.6,4.6,4.6,19,24,4,1
2023-06-16,4.64,4.64,4.64,4.64,19,24,4,1
2023-06-19,4.6,4.6,4.6,4.6,19,24,4,1
2023-06-20,4.6,4.64,4.6,4.64,19,24,4,1
2023-06-21,4.64,4.64,4.64,4.64,19,24,4,1
2023-06-22,4.64,4.7,4.64,4.7,19,24,4,1
2023-06-23,4.6,4.68,4.6,4.68,19,24,4,1
2023-06-26,4.68,4.68,4.68,4.68,19,24,4,1
2023-06-27,4.6,4.6,4.6,4.6,19,24,4,1
2023-06-28,4.6,4.6,4.18,4.18,19,24,4,1
2023-06-29,4.3,4.3,4.3,4.3,19,24,4,1
2023-06-30,4.36,4.36,4.36,4.36,19,24,4,1
2023-07-03,4.36,4.36,4.36,4.36,19,24,4,1
2023-07-04,4.36,4.36,4.36,4.36,19,24,4,1
2023-07-05,4.36,4.36,4.36,4.36,19,24,4,1
2023-07-06,4.54,4.54,4.54,4.54,19,24,4,1
2023-07-07,4.54,4.54,4.54,4.54,19,24,4,1
