Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-28,292.2,296.0,290.0,294.6,36,48,1,1
2022-11-29,295.8,296.0,291.4,293.0,36,48,1,1
2022-11-30,294.0,301.8,291.8,298.2,36,48,1,1
2022-12-01,299.0,299.8,290.0,295.2,36,48,1,1
2022-12-02,292.8,304.8,292.2,298.0,36,48,1,1
2022-12-05,294.6,301.6,291.2,293.4,36,48,1,1
2022-12-06,294.0,296.2,286.2,287.2,36,48,1,1
2022-12-07,291.8,291.8,281.0,283.8,36,48,1,1
2022-12-08,286.6,286.8,280.2,281.6,36,48,1,1
2022-12-09,281.2,283.8,277.2,279.6,36,48,1,1
2022-12-12,282.0,282.0,274.4,275.8,36,48,1,1
2022-12-13,279.4,293.0,273.8,291.2,36,48,1,1
2022-12-14,291.2,293.0,289.2,290.8,36,48,1,1
2022-12-15,291.6,292.4,289.0,290.2,36,48,1,1
2022-12-16,286.0,292.8,281.0,283.8,36,48,1,1
2022-12-19,284.6,288.6,283.0,284.4,36,48,1,1
2022-12-20,282.8,288.2,280.4,284.4,36,48,1,1
2022-12-21,285.0,289.8,284.6,289.8,36,48,1,1
2022-12-22,288.2,301.2,288.2,297.4,36,48,1,1
2022-12-23,298.0,304.8,296.0,303.0,36,48,1,1
2022-12-27,305.0,305.2,301.0,304.4,36,48,1,1
2022-12-28,304.2,304.2,299.6,301.4,36,48,1,1
2022-12-29,303.0,311.8,299.0,309.8,36,48,1,1
2022-12-30,310.4,317.4,308.2,310.0,36,48,1,1
2023-01-02,313.0,315.8,310.4,311.8,36,48,1,1
2023-01-03,318.0,318.0,310.4,315.0,36,48,1,1
2023-01-04,318.0,319.2,315.4,318.6,36,48,1,1
2023-01-05,319.0,326.4,316.6,319.8,36,48,1,1
2023-01-09,320.0,331.8,320.0,330.0,36,48,1,1
2023-01-10,327.6,334.8,322.0,334.4,36,48,1,1
2023-01-11,334.0,336.0,327.2,328.8,36,48,1,1
2023-01-12,330.2,333.4,327.2,329.0,36,48,1,1
2023-01-13,328.2,329.0,322.4,323.6,36,48,1,1
2023-01-16,323.6,325.0,319.0,324.4,36,48,1,1
2023-01-17,325.2,326.2,320.6,320.6,36,48,1,1
2023-01-18,321.8,331.2,319.4,326.0,36,48,1,1
2023-01-19,325.4,339.4,320.8,336.0,36,48,1,1
2023-01-20,336.0,336.0,332.0,334.0,36,48,1,1
2023-01-23,335.0,343.8,334.2,338.0,36,48,1,1
2023-01-24,338.0,343.4,334.8,336.0,36,48,1,1
2023-01-25,341.8,342.0,332.0,336.0,36,48,1,1
2023-01-26,340.0,349.8,334.4,347.0,36,48,1,1
2023-01-27,346.8,351.2,345.4,347.0,36,48,1,1
2023-01-30,344.4,346.4,342.0,345.0,36,48,1,1
2023-01-31,342.2,351.6,340.4,351.6,36,48,1,1
2023-02-01,351.0,355.4,345.4,346.6,36,48,1,1
2023-02-02,349.0,357.0,347.8,352.0,36,48,1,1
2023-02-03,355.0,357.4,349.2,353.6,36,48,1,1
2023-02-06,354.0,356.4,341.4,342.0,36,48,1,1
2023-02-07,340.6,341.0,331.6,339.6,36,48,1,1
2023-02-08,341.6,343.0,334.2,339.0,36,48,1,1
2023-02-09,338.0,350.4,338.0,344.2,36,48,1,1
2023-02-10,347.0,347.0,325.4,326.0,36,48,1,1
2023-02-13,328.8,339.6,322.0,334.4,36,48,1,1
2023-02-14,335.0,341.0,321.0,323.6,36,48,1,1
2023-02-15,326.4,337.4,323.6,336.6,36,48,1,1
2023-02-16,336.6,336.6,327.4,332.4,36,48,1,1
2023-02-17,333.0,342.2,330.0,341.4,36,48,1,1
2023-02-20,342.0,342.0,331.8,333.6,36,48,1,1
2023-02-21,337.8,337.8,327.2,333.6,36,48,1,1
2023-02-22,336.8,336.8,323.0,326.0,36,48,1,1
2023-02-23,328.6,333.4,323.2,333.4,36,48,1,1
2023-02-24,333.0,333.8,325.2,330.0,36,48,1,1
2023-02-27,333.0,333.0,326.8,330.4,36,48,1,1
2023-02-28,328.0,336.4,326.0,330.8,36,48,1,1
2023-03-01,332.0,334.4,328.8,330.6,36,48,1,1
2023-03-02,330.6,330.6,321.4,326.2,36,48,1,1
2023-03-03,328.0,332.4,325.2,327.6,36,48,1,1
2023-03-06,331.0,340.6,328.4,337.0,36,48,1,1
2023-03-07,339.0,346.0,337.0,337.2,36,48,1,1
2023-03-08,338.0,344.6,335.0,342.0,36,48,1,1
2023-03-09,343.0,343.0,331.6,332.0,36,48,1,1
2023-03-10,328.0,335.8,325.0,328.0,36,48,1,1
2023-03-13,328.0,328.4,307.4,312.8,36,48,1,1
2023-03-14,316.0,316.0,308.2,309.8,36,48,1,1
2023-03-15,310.0,310.0,294.0,299.0,36,48,1,1
2023-03-16,300.4,301.8,286.2,297.6,36,48,1,1
2023-03-17,298.0,311.0,292.0,299.6,36,48,1,1
2023-03-20,297.0,302.2,286.6,301.4,36,48,1,1
2023-03-21,304.0,308.2,300.8,305.2,36,48,1,1
2023-03-22,306.0,306.0,299.2,302.0,36,48,1,1
2023-03-23,307.2,307.2,295.0,305.0,36,48,1,1
2023-03-24,303.2,306.0,290.8,297.8,36,48,1,1
2023-03-27,293.0,303.0,293.0,302.4,36,48,1,1
2023-03-28,306.0,311.0,302.4,303.8,36,48,1,1
2023-03-29,307.0,309.0,300.2,303.8,36,48,1,1
2023-03-30,303.8,309.4,302.0,308.4,36,48,1,1
2023-03-31,310.0,314.0,307.0,308.2,36,48,1,1
