Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-31,36.28,37.7,36.24,37.68,54,70,1,1
2023-02-01,37.68,37.68,36.8,37.0,54,70,1,1
2023-02-02,37.3,37.8,37.04,37.58,54,70,1,1
2023-02-03,37.7,39.42,37.42,38.5,54,70,1,1
2023-02-06,38.5,38.6,37.3,37.8,54,70,1,1
2023-02-07,37.54,37.78,37.2,37.7,54,70,1,1
2023-02-08,37.7,38.14,37.6,37.7,54,70,1,1
2023-02-09,37.8,38.48,37.72,37.72,54,70,1,1
2023-02-10,37.8,37.92,37.18,37.6,54,70,1,1
2023-02-13,37.84,37.84,37.5,37.68,54,70,1,1
2023-02-14,37.8,38.04,37.2,37.38,54,70,1,1
2023-02-15,37.5,37.5,36.82,36.82,54,70,1,1
2023-02-16,36.88,37.62,36.88,37.46,54,70,1,1
2023-02-17,37.04,37.24,36.9,36.9,54,70,1,1
2023-02-20,37.16,37.34,36.8,36.8,54,70,1,1
2023-02-21,36.78,36.94,36.68,36.72,54,70,1,1
2023-02-22,36.7,36.78,36.3,36.3,54,70,1,1
2023-02-23,36.8,37.14,36.6,36.7,54,70,1,1
2023-02-24,36.8,37.18,36.72,37.1,54,70,1,1
2023-02-27,37.12,37.18,36.82,36.98,54,70,1,1
2023-02-28,36.96,37.2,36.8,37.12,54,70,1,1
2023-03-01,37.2,37.62,37.16,37.62,54,70,1,1
2023-03-02,37.64,37.7,37.14,37.7,54,70,1,1
2023-03-03,37.4,37.52,37.2,37.42,54,70,1,1
2023-03-06,37.4,37.86,37.16,37.8,54,70,1,1
2023-03-07,37.5,37.86,37.5,37.82,54,70,1,1
2023-03-08,37.56,37.88,37.22,37.22,54,70,1,1
2023-03-09,37.6,37.78,37.46,37.72,54,70,1,1
2023-03-10,37.76,37.76,37.1,37.56,54,70,1,1
2023-03-13,37.1,37.46,36.5,37.1,54,70,1,1
2023-03-14,37.0,37.2,36.66,36.9,54,70,1,1
2023-03-15,36.9,36.98,35.8,35.86,54,70,1,1
2023-03-16,36.0,36.38,35.88,36.3,54,70,1,1
2023-03-17,37.0,37.0,35.76,35.8,54,70,1,1
2023-03-20,35.8,36.16,35.4,35.8,54,70,1,1
2023-03-21,36.2,36.82,36.2,36.52,54,70,1,1
2023-03-22,36.8,36.8,36.42,36.5,54,70,1,1
2023-03-23,36.8,36.8,36.2,36.4,54,70,1,1
2023-03-24,36.2,36.2,35.62,35.68,54,70,1,1
2023-03-27,36.0,36.12,35.68,35.96,54,70,1,1
2023-03-28,35.8,36.0,35.64,35.7,54,70,1,1
2023-03-29,35.96,35.96,35.7,35.7,54,70,1,1
2023-03-30,35.7,35.98,35.64,35.66,54,70,1,1
2023-03-31,35.7,36.0,35.66,35.94,54,70,1,1
2023-04-03,35.94,36.12,35.32,35.54,54,70,1,1
2023-04-04,35.7,35.8,35.64,35.68,54,70,1,1
2023-04-05,35.86,35.86,35.1,35.34,54,70,1,1
2023-04-06,35.48,35.5,35.06,35.14,54,70,1,1
2023-04-11,35.6,35.98,35.6,35.8,54,70,1,1
2023-04-12,35.8,36.18,35.8,36.04,54,70,1,1
2023-04-13,36.06,36.18,35.9,36.08,54,70,1,1
2023-04-14,36.2,36.26,36.06,36.1,54,70,1,1
2023-04-17,36.2,36.36,36.14,36.18,54,70,1,1
2023-04-18,36.2,36.36,36.16,36.3,54,70,1,1
2023-04-19,36.3,36.44,36.2,36.3,54,70,1,1
2023-04-20,36.2,36.82,36.2,36.3,54,70,1,1
2023-04-21,36.5,36.64,36.48,36.58,54,70,1,1
2023-04-24,36.5,36.6,36.32,36.46,54,70,1,1
2023-04-25,36.58,36.58,36.1,36.1,54,70,1,1
2023-04-26,36.1,36.36,36.0,36.02,54,70,1,1
2023-04-27,36.06,36.54,36.06,36.28,54,70,1,1
2023-04-28,36.28,36.42,36.08,36.16,54,70,1,1
2023-05-02,36.34,36.7,36.22,36.24,54,70,1,1
