Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-14,15.7,16.05,15.55,16.05,39,53,1,1
2022-11-15,15.6,15.8,15.05,15.35,39,53,1,1
2022-11-16,15.2,15.5,15.2,15.3,39,53,1,1
2022-11-17,15.5,15.55,15.25,15.3,39,53,1,1
2022-11-18,15.3,15.3,15.25,15.3,39,53,1,1
2022-11-21,15.3,15.3,15.0,15.15,39,53,1,1
2022-11-22,15.25,15.3,15.0,15.05,39,53,1,1
2022-11-23,15.05,15.35,15.05,15.2,39,53,1,1
2022-11-24,15.2,15.2,15.0,15.0,39,53,1,1
2022-11-25,15.1,15.1,14.45,14.8,39,53,1,1
2022-11-28,14.8,15.2,14.8,15.15,39,53,1,1
2022-11-29,15.15,15.2,15.1,15.2,39,53,1,1
2022-11-30,15.2,15.65,15.1,15.1,39,53,1,1
2022-12-01,15.15,15.65,15.15,15.6,39,53,1,1
2022-12-02,15.7,15.7,15.55,15.6,39,53,1,1
2022-12-05,15.6,15.8,15.55,15.65,39,53,1,1
2022-12-06,15.65,15.7,15.35,15.35,39,53,1,1
2022-12-07,15.8,16.0,15.4,15.85,39,53,1,1
2022-12-08,16.0,16.0,15.6,16.0,39,53,1,1
2022-12-09,16.0,16.0,15.9,15.9,39,53,1,1
2022-12-12,15.95,16.0,15.85,15.95,39,53,1,1
2022-12-13,15.85,15.95,15.6,15.95,39,53,1,1
2022-12-14,15.9,16.0,15.8,16.0,39,53,1,1
2022-12-15,16.0,16.0,15.6,15.6,39,53,1,1
2022-12-16,15.6,15.6,15.2,15.2,39,53,1,1
2022-12-19,15.0,15.4,15.0,15.35,39,53,1,1
2022-12-20,15.35,15.35,15.05,15.25,39,53,1,1
2022-12-21,15.25,15.25,15.1,15.15,39,53,1,1
2022-12-22,15.15,15.3,14.9,14.95,39,53,1,1
2022-12-23,14.95,14.95,14.65,14.65,39,53,1,1
2022-12-27,14.65,14.65,13.6,13.95,39,53,1,1
2022-12-28,13.85,14.2,13.55,13.6,39,53,1,1
2022-12-29,13.7,14.1,13.7,13.9,39,53,1,1
2022-12-30,13.9,14.1,13.45,13.5,39,53,1,1
2023-01-02,13.6,14.45,13.6,14.1,39,53,1,1
2023-01-03,14.4,15.2,14.35,15.2,39,53,1,1
2023-01-04,15.25,16.75,15.25,16.2,39,53,1,1
2023-01-05,16.2,16.6,15.7,16.3,39,53,1,1
2023-01-09,16.3,16.8,15.7,16.6,39,53,1,1
2023-01-10,16.35,16.55,16.35,16.4,39,53,1,1
2023-01-11,16.5,16.7,16.3,16.3,39,53,1,1
2023-01-12,15.45,16.15,15.45,15.8,39,53,1,1
2023-01-13,15.8,17.0,15.7,15.95,39,53,1,1
2023-01-16,16.45,16.7,16.1,16.55,39,53,1,1
2023-01-17,16.7,16.7,16.6,16.7,39,53,1,1
2023-01-18,16.7,17.7,16.4,17.5,39,53,1,1
2023-01-19,17.5,17.55,16.55,16.55,39,53,1,1
2023-01-20,16.6,17.0,16.6,16.7,39,53,1,1
2023-01-23,16.8,17.5,16.8,17.3,39,53,1,1
2023-01-24,17.6,17.65,17.4,17.4,39,53,1,1
2023-01-25,17.45,21.8,17.2,20.0,39,53,1,1
2023-01-26,20.2,20.2,18.2,18.6,39,53,1,1
2023-01-27,18.4,18.55,17.6,18.3,39,53,1,1
2023-01-30,18.4,19.45,18.2,19.0,39,53,1,1
2023-01-31,19.0,19.25,18.7,18.7,39,53,1,1
2023-02-01,18.7,18.7,18.2,18.45,39,53,1,1
2023-02-02,18.4,18.8,18.15,18.8,39,53,1,1
2023-02-03,18.85,18.85,18.1,18.3,39,53,1,1
2023-02-06,18.3,18.3,17.55,17.95,39,53,1,1
2023-02-07,18.0,18.25,17.95,18.1,39,53,1,1
2023-02-08,18.1,18.1,17.55,17.75,39,53,1,1
2023-02-09,17.8,17.8,17.2,17.5,39,53,1,1
2023-02-10,17.4,17.45,16.9,17.45,39,53,1,1
2023-02-13,17.45,17.45,17.0,17.1,39,53,1,1
2023-02-14,17.1,17.15,16.6,17.05,39,53,1,1
2023-02-15,17.05,17.05,16.6,16.75,39,53,1,1
2023-02-16,16.9,17.1,16.85,17.0,39,53,1,1
2023-02-17,17.0,17.0,16.45,16.8,39,53,1,1
2023-02-20,16.55,16.95,16.55,16.9,39,53,1,1
2023-02-21,17.1,17.15,17.1,17.1,39,53,1,1
2023-02-22,17.15,17.15,16.3,16.85,39,53,1,1
2023-02-23,16.85,17.15,16.8,17.15,39,53,1,1
2023-02-24,17.1,17.45,16.85,17.35,39,53,1,1
2023-02-27,17.0,17.0,16.7,16.9,39,53,1,1
2023-02-28,16.95,18.45,16.9,18.2,39,53,1,1
2023-03-01,18.2,18.2,17.85,18.05,39,53,1,1
2023-03-02,18.1,19.25,17.65,18.15,39,53,1,1
2023-03-03,18.25,18.3,17.8,17.95,39,53,1,1
2023-03-06,17.95,18.0,17.6,17.85,39,53,1,1
2023-03-07,17.95,18.0,17.65,17.75,39,53,1,1
2023-03-08,17.75,18.4,17.6,18.4,39,53,1,1
2023-03-09,18.4,19.5,18.35,18.95,39,53,1,1
2023-03-10,18.7,18.95,18.35,18.4,39,53,1,1
2023-03-13,18.3,18.35,17.3,18.35,39,53,1,1
2023-03-14,18.7,18.7,18.35,18.4,39,53,1,1
2023-03-15,18.7,18.7,17.7,18.0,39,53,1,1
2023-03-16,18.0,18.5,17.5,17.55,39,53,1,1
2023-03-17,17.65,18.0,17.5,17.65,39,53,1,1
2023-03-20,17.75,17.9,17.25,17.7,39,53,1,1
2023-03-21,17.7,18.0,17.6,17.95,39,53,1,1
2023-03-22,17.95,18.15,17.6,17.95,39,53,1,1
2023-03-23,17.95,18.15,17.7,17.95,39,53,1,1
2023-03-24,17.9,17.9,17.5,17.8,39,53,1,1
2023-03-27,17.85,19.3,17.75,18.8,39,53,1,1
2023-03-28,18.95,19.15,18.45,18.7,39,53,1,1
2023-03-29,18.5,18.95,18.5,18.75,39,53,1,1
2023-03-30,18.85,18.95,18.45,18.9,39,53,1,1
2023-03-31,19.0,19.15,18.45,19.1,39,53,1,1
