Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-28,49937.11,50647.83,49937.11,50647.83,-1,-1,0,0
2022-10-31,51295.25,51569.21,51295.25,51569.21,-1,-1,0,0
2022-11-02,52310.89,52461.04,52212.73,52461.04,-1,-1,0,0
2022-11-03,51882.77,52034.55,51630.15,52034.55,-1,-1,0,0
2022-11-04,52975.53,53489.14,52975.53,53489.14,-1,-1,0,0
2022-11-07,54264.26,54264.26,53879.64,53879.64,-1,-1,0,0
2022-11-08,54085.03,54581.61,54048.99,54581.61,-1,-1,0,0
2022-11-09,54467.82,54679.23,54467.82,54550.25,-1,-1,0,0
2022-11-10,53872.52,55719.11,53872.52,55719.11,-1,-1,0,0
2022-11-14,56586.49,57049.09,56586.49,57049.09,-1,-1,0,0
2022-11-15,56755.75,57644.77,56755.75,57644.77,-1,-1,0,0
2022-11-16,56710.64,56954.02,56710.64,56865.48,-1,-1,0,0
2022-11-17,56006.13,56133.73,56006.13,56022.29,-1,-1,0,0
2022-11-18,56472.34,56472.34,56120.96,56120.96,-1,-1,0,0
2022-11-21,55784.42,55804.59,55433.8,55433.8,-1,-1,0,0
2022-11-22,56203.3,56512.07,56203.3,56390.2,-1,-1,0,0
2022-11-23,56722.97,56722.97,56237.06,56348.18,-1,-1,0,0
2022-11-24,56897.1,57401.95,56897.1,57401.95,-1,-1,0,0
2022-11-25,57424.61,57561.94,57335.69,57561.94,-1,-1,0,0
2022-11-28,57213.73,57213.73,56997.67,57043.66,-1,-1,0,0
2022-11-29,56970.94,57231.81,56891.64,57231.81,-1,-1,0,0
2022-11-30,57541.51,57550.79,57287.26,57287.26,-1,-1,0,0
2022-12-01,57852.76,58204.03,57852.76,58204.03,-1,-1,0,0
2022-12-02,57843.96,57843.96,57480.69,57546.69,-1,-1,0,0
2022-12-05,58363.29,58363.29,57819.13,57819.13,-1,-1,0,0
2022-12-06,57328.4,57395.19,57207.09,57207.09,-1,-1,0,0
2022-12-07,57143.77,57284.51,57143.77,57284.51,-1,-1,0,0
2022-12-08,57181.32,57181.32,56781.09,57010.79,-1,-1,0,0
2022-12-09,57157.09,57157.09,56885.51,57131.88,-1,-1,0,0
2022-12-12,57347.7,57855.42,57347.7,57855.42,-1,-1,0,0
2022-12-13,57556.31,59056.4,57556.31,58748.2,-1,-1,0,0
2022-12-14,58772.85,58915.15,58772.85,58831.4,-1,-1,0,0
2022-12-15,58000.42,58000.42,57707.13,57819.09,-1,-1,0,0
2022-12-16,57204.21,57404.22,57204.21,57374.35,-1,-1,0,0
2022-12-19,57693.74,57693.74,57444.56,57444.56,-1,-1,0,0
2022-12-20,57430.71,58002.22,57430.71,58002.22,-1,-1,0,0
2022-12-21,57970.03,58673.21,57970.03,58673.21,-1,-1,0,0
2022-12-22,58495.52,58529.34,58450.57,58450.57,-1,-1,0,0
2022-12-23,58382.15,58417.35,58232.5,58417.35,-1,-1,0,0
2022-12-27,58406.37,58406.37,57915.49,57915.49,-1,-1,0,0
2022-12-28,57951.77,58075.23,57951.77,57978.03,-1,-1,0,0
2022-12-29,58289.7,59033.0,58289.7,59033.0,-1,-1,0,0
2022-12-30,58868.74,58868.74,58856.93,58864.46,-1,-1,0,0
2023-01-02,59284.95,59284.95,58948.21,59060.52,-1,-1,0,0
2023-01-03,60142.4,60412.03,60142.4,60236.87,-1,-1,0,0
2023-01-04,60992.73,61249.66,60992.73,61249.66,-1,-1,0,0
2023-01-05,62117.38,62117.38,61337.59,61337.59,-1,-1,0,0
2023-01-09,62245.31,62923.07,62212.8,62923.07,-1,-1,0,0
2023-01-10,62773.0,63564.51,62773.0,63564.51,-1,-1,0,0
2023-01-11,63609.86,63609.86,62830.84,62830.84,-1,-1,0,0
2023-01-12,63605.98,63605.98,63316.14,63316.14,-1,-1,0,0
2023-01-13,63230.91,63230.91,62779.33,63137.92,-1,-1,0,0
2023-01-16,62715.07,63556.5,62715.07,63432.47,-1,-1,0,0
2023-01-17,62825.86,62825.86,62543.84,62543.84,-1,-1,0,0
2023-01-18,62420.15,63067.03,62420.15,62693.89,-1,-1,0,0
2023-01-19,61928.27,62060.72,61666.16,62060.72,-1,-1,0,0
2023-01-20,62121.64,62302.88,62121.64,62302.88,-1,-1,0,0
2023-01-23,62831.36,63182.12,62831.36,63182.12,-1,-1,0,0
2023-01-24,63517.55,63517.55,63056.02,63056.02,-1,-1,0,0
2023-01-25,62116.79,62116.79,61909.43,62035.2,-1,-1,0,0
2023-01-26,62515.54,62880.06,62515.54,62744.31,-1,-1,0,0
2023-01-27,62728.96,62863.1,62728.96,62752.11,-1,-1,0,0
2023-01-30,61964.46,62044.35,61964.46,62044.35,-1,-1,0,0
2023-01-31,62094.4,62748.32,62094.4,62748.32,-1,-1,0,0
2023-02-01,62152.44,62395.57,61897.64,61897.64,-1,-1,0,0
2023-02-02,62454.11,63039.18,62454.11,62792.59,-1,-1,0,0
2023-02-03,63074.38,63074.38,62648.04,62889.2,-1,-1,0,0
